institution,period,euro,doi,is_hybrid,publisher,agreement
,,,,,,
,,,,,,
,,,,,,
HTWG Konstanz,2024,,10.1365/s40702-024-01054-7,TRUE,Springer,sn2024deal
HTWG Konstanz,2024,,10.1007/s10182-024-00497-z,TRUE,Springer,sn2024deal
HTWG Konstanz,2024,,10.1016/j.jdmm.2024.100946,TRUE,Elsevier,els2023deal
HTWG Konstanz,2025,,10.1365/s40702-025-01151-1,TRUE,Springer,sn2024deal
HTWG Konstanz,2025,,10.3390/su17094160,FALSE,MDPI,NA
HTWG Konstanz,2025,,10.3390/buildings15162899,FALSE,MDPI,NA
HTWG Konstanz,2025,,10.1016/j.enbuild.2025.115527,TRUE,Elsevier,els2023deal
HTWG Konstanz,2025,,10.1016/j.oceaneng.2025.121011,TRUE,Elsevier,els2023deal
