id;institution;period;euro;doi;is_hybrid;publisher;journal_full_title
1;Martin Luther Universitaet Halle-Wittenberg;2020;1868;10.1038/s41598-020-67798-6;FALSE;Springer_Nature;Scientific_reports
2;Martin Luther Universitaet Halle-Wittenberg;2020;831;;FALSE;MDPI_Basel;Brain_Sciences_(MDPI)
3;Martin Luther Universitaet Halle-Wittenberg;2020;454;10.1088/1367-2630/ab64b0;FALSE;IOP;New_Journal_of_Physics
4;Martin Luther Universitaet Halle-Wittenberg;2020;1051;10.1039/c9ra10631f;FALSE;RSC;RSC_Advances
5;Martin Luther Universitaet Halle-Wittenberg;2020;1734;10.1186/s12887-020-1943-3;FALSE;Springer_Nature;BMC_Pediatrics
6;Martin Luther Universitaet Halle-Wittenberg;2020;1890;10.1530/EC-19-0548;FALSE;Bioscientifica;Endocrine_Connections
7;Martin Luther Universitaet Halle-Wittenberg;2020;1485;10.3390/molecules25030496;FALSE;MDPI_Basel;Molecules
8;Martin Luther Universitaet Halle-Wittenberg;2020;1501;10.3390/genes11020212;FALSE;MDPI_Basel;Genes(MDPI)
9;Martin Luther Universitaet Halle-Wittenberg;2020;1868;10.1038/s41598-020-59700-1;FALSE;Springer_Nature;Scientific_Reports
10;Martin Luther Universitaet Halle-Wittenberg;2020;1654;10.3389/fimmu.2020.00245;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Immunology
11;Martin Luther Universitaet Halle-Wittenberg;2020;612;10.3390/biomedicines8020033;FALSE;MDPI_Basel;Biomedicines
12;Martin Luther Universitaet Halle-Wittenberg;2020;1500;10.3390/cancers12020464;FALSE;MDPI_Basel;Cancers
13;Martin Luther Universitaet Halle-Wittenberg;2020;524;10.1080/09712119.2020.1733581;FALSE;Taylor_and_Francis;Journal_of_Applied_Animal_Research
14;Martin Luther Universitaet Halle-Wittenberg;2020;1809;10.1111/ecog.05172;FALSE;Wiley;Ecography
15;Martin Luther Universitaet Halle-Wittenberg;2020;1459;10.3390/cells9040868;FALSE;MDPI_Basel;Cells
16;Martin Luther Universitaet Halle-Wittenberg;2020;1071;10.3389/fonc.2020.540030;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Oncology
17;Martin Luther Universitaet Halle-Wittenberg;2020;1691;10.3390/ijerph17082672;FALSE;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health
18;Martin Luther Universitaet Halle-Wittenberg;2020;1285;10.1098/rsos.200480;FALSE;RSC;Royal_Society_Open_Science
19;Martin Luther Universitaet Halle-Wittenberg;2020;1683;10.3390/ijerph17072502;FALSE;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health
20;Martin Luther Universitaet Halle-Wittenberg;2020;1571;10.1080/21623945.2020.1750256;FALSE;Taylor_and_Francis;Adipocyte
21;Martin Luther Universitaet Halle-Wittenberg;2020;1618;10.1063/1.5143713;FALSE;AIP_Publishing;AIP_Advances
22;Martin Luther Universitaet Halle-Wittenberg;2020;1691;10.3390/cells9041060;FALSE;MDPI_Basel;Cells
23;Martin Luther Universitaet Halle-Wittenberg;2020;1695;10.3390/cancers12051261;FALSE;MDPI_Basel;Cancers
24;Martin Luther Universitaet Halle-Wittenberg;2020;1714;10.1002/ece3.6506;FALSE;Wiley;Ecology_and_Evolution
25;Martin Luther Universitaet Halle-Wittenberg;2020;1317;10.3390/polym12051099;FALSE;MDPI_Basel;Polymers
26;Martin Luther Universitaet Halle-Wittenberg;2020;1893;10.1136/bmjopen-2019-034294;FALSE;BMJ;BMJ_open
27;Martin Luther Universitaet Halle-Wittenberg;2020;1960;10.3389/fneur.2020.549817;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Neurology
28;Martin Luther Universitaet Halle-Wittenberg;2020;1926;10.1016/j.cpb.2020.100181;FALSE;Elsevier;Current_Plant_Biology
29;Martin Luther Universitaet Halle-Wittenberg;2020;1697;10.3390/ijms21093168;FALSE;MDPI_Basel;International_Journal_of_Molecular_Sciences
30;Martin Luther Universitaet Halle-Wittenberg;2020;842;10.3390/inorganics8060038;FALSE;MDPI_Basel;Inorganics
31;Martin Luther Universitaet Halle-Wittenberg;2020;1556;10.1177/2058739220926856;FALSE;Sage;European_Journal_of_Inflammation
32;Martin Luther Universitaet Halle-Wittenberg;2020;1740;10.1136/bmjopen-2020-040572;FALSE;BMJ;BMJ_open
33;Martin Luther Universitaet Halle-Wittenberg;2020;1456;10.3390/biom10081103;FALSE;MDPI_Basel;Biomolecules
34;Martin Luther Universitaet Halle-Wittenberg;2020;1095;10.3390/jcm9061816 ;FALSE;MDPI_Basel;Cells
35;Martin Luther Universitaet Halle-Wittenberg;2020;1684;10.3390/molecules25112632;FALSE;MDPI_Basel;Molecules
36;Martin Luther Universitaet Halle-Wittenberg;2020;1696;10.3390/ijms21103724 ;FALSE;MDPI_Basel;International_Journal_of_Molecular_Sciences
37;Martin Luther Universitaet Halle-Wittenberg;2020;1661;10.1371/journal.pone.0242230 ;FALSE;PLOS;PLOS_ONE
38;Martin Luther Universitaet Halle-Wittenberg;2020;1129;10.3390/life10090204;FALSE;MDPI_Basel;Life
39;Martin Luther Universitaet Halle-Wittenberg;2020;835;10.3390/diseases8020019 ;FALSE;MDPI_Basel;Diseases
40;Martin Luther Universitaet Halle-Wittenberg;2020;1071;10.3389/ffgc.2020.00094;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Forests_and_Global_Change
41;Martin Luther Universitaet Halle-Wittenberg;2020;1935;10.3389/fpsyg.2020.568825;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Psychology:_Quantitative_Psychology_and_Measurement
42;Martin Luther Universitaet Halle-Wittenberg;2020;2072;10.3389/fcell.2020.00425;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Cell_and_developmental_Biology
43;Martin Luther Universitaet Halle-Wittenberg;2020;813;10.3390/ph13070146;FALSE;MDPI_Basel;Pharmaceuticals
44;Martin Luther Universitaet Halle-Wittenberg;2020;1516;10.3390/pharmaceutics12060509;FALSE;MDPI_Basel;Pharmaceutics
45;Martin Luther Universitaet Halle-Wittenberg;2020;1890;10.1530/EC-19-0549;FALSE;Bioscientifica;Endocrine_Connections
47;Martin Luther Universitaet Halle-Wittenberg;2020;1179;10.3390/brainsci10060349 ;FALSE;MDPI_Basel;Brain_Sciences
48;Martin Luther Universitaet Halle-Wittenberg;2020;1999;10.2147/PPA.S256990;FALSE;Dove_Medical_Press;Patient_Preference_and_Adherence
49;Martin Luther Universitaet Halle-Wittenberg;2020;1797;10.1016/j.heliyon.2020.e04230;FALSE;Cell_Press_(Elsevier);Heliyon
50;Martin Luther Universitaet Halle-Wittenberg;2020;1627;10.3390/ma13143193;FALSE;MDPI_Basel;Materials
51;Martin Luther Universitaet Halle-Wittenberg;2020;1627;10.3390/ma13143228;FALSE;MDPI_Basel;Materials
52;Martin Luther Universitaet Halle-Wittenberg;2020;1611;10.3390/ijms21165830;FALSE;MDPI_Basel;International_Journal_of_Molecular_Sciences
53;Martin Luther Universitaet Halle-Wittenberg;2020;186;10.3390/ijerph17186470;FALSE;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health
54;Martin Luther Universitaet Halle-Wittenberg;2020;1129;10.3390/land9100379;FALSE;MDPI_Basel;Land
55;Martin Luther Universitaet Halle-Wittenberg;2020;406;10.1107/S2056989020010658 ;FALSE;IUCR;Acta_Crystallographica_Section_E
56;Martin Luther Universitaet Halle-Wittenberg;2020;1940;10.3389/fnut.2020.585693;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Nutrition
57;Martin Luther Universitaet Halle-Wittenberg;2020;1935;10.3389/fimmu.2020.573200;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Nutrition
58;Martin Luther Universitaet Halle-Wittenberg;2020;1456;10.3390/polym12081683;FALSE;MDPI_Basel;Polymers
59;Martin Luther Universitaet Halle-Wittenberg;2020;1722;10.3389/fchem.2020.586942;FALSE;Frontiers_MEDIA_SA;Frontiers_in_Chemistry
60;Martin Luther Universitaet Halle-Wittenberg;2020;1777;10.3390/cancers12082254;FALSE;MDPI_Basel;Cancers
