id,institution,period,euro,doi,is_hybrid,publisher,journal_full_title
1,Martin Luther Universität Halle-Wittenberg,2017,2142,10.1186/s12913-017-2456-0,FALSE,BioMed Central,BMC Health Services Research
2,Martin Luther Universität Halle-Wittenberg,2017,2148,10.3389/fpls.2017.01135,FALSE,Frontiers Media S.A.,Frontiers In Plant Science
3,Martin Luther Universität Halle-Wittenberg,2017,1874,10.3390/ijms18091844,FALSE,MDPI AG,International Journal of Molecular Sciences
4,Martin Luther Universität Halle-Wittenberg,2017,1378,10.3390/polym9110573,FALSE,MDPI AG,Polymers
5,Martin Luther Universität Halle-Wittenberg,2017,1453,10.3390/su9081486,FALSE,MDPI AG,Sustainability
6,Martin Luther Universität Halle-Wittenberg,2017,3427,10.1093/nar/gkx931,FALSE,Oxford University Press (OUP),Nucleic Acids Research
7,Martin Luther Universität Halle-Wittenberg,2017,2332,10.1159/000481732,FALSE,S. Karger AG,Obesity Facts
8,Martin Luther Universität Halle-Wittenberg,2017,2148,10.3389/fmicb.2017.02180,FALSE,Frontiers Media S.A.,Frontiers in Microbiology
9,Martin Luther Universität Halle-Wittenberg,2017,4403,10.1038/s41467-017-02195-8,FALSE,Springer Nature,Nature Communications

11,Martin Luther Universität Halle-Wittenberg,2017,2468,10.1016/j.neo.2017.09.005,FALSE,Elsevier BV,Neoplasia
12,Martin Luther Universität Halle-Wittenberg,2017,3501,10.1177/0300060517743836,FALSE,SAGE Publications,Journal of International Medical Research
13,Martin Luther Universität Halle-Wittenberg,2017,2156,10.3389/fphar.2017.00860,FALSE,Frontiers Media S.A.,Frontiers in Pharmacology
14,Martin Luther Universität Halle-Wittenberg,2017,1772,10.3390/molecules22122193,FALSE,MDPI AG,Molecules
15,Martin Luther Universität Halle-Wittenberg,2017,533,10.1016/j.softx.2017.11.002,FALSE,Elsevier BV,SoftwareX
16,Martin Luther Universität Halle-Wittenberg,2017,2142,10.1186/s12911-017-0548-8,FALSE,Springer Nature,BMC Medical Informatics and Decision Making
17,Martin Luther Universität Halle-Wittenberg,2017,1225,10.3390/iJms18122648,FALSE,MDPI AG,International Journal of Molecular Science
18,Martin Luther Universität Halle-Wittenberg,2017,1772,10.3390/iJms18122739,FALSE,MDPI AG,International Journal of Molecular Science
