"id","institution","period","euro","doi","is_hybrid","publisher"
1,"Martin Luther Universitaet Halle-Wittenberg",2023,1961,"10.1186/s12890-022-02296-1","false","Springer_Nature"
2,"Martin Luther Universitaet Halle-Wittenberg",2023,2119,"10.3389/fped.2022.1013300","false","Frontiers_MEDIA_SA"
3,"Martin Luther Universitaet Halle-Wittenberg",2023,1224,"10.3390/toxics11020100","false","MDPI_Basel"
4,"Martin Luther Universitaet Halle-Wittenberg",2023,324,"10.1107/S2414314623000251","false","International Union of Crystallography (IUCr)"
5,"Martin Luther Universitaet Halle-Wittenberg",2023,1080,"10.3390/jcm12020640","false","MDPI_Basel"
6,"Martin Luther Universitaet Halle-Wittenberg",2023,2051,"10.3390/su15043741","false","MDPI_Basel"
7,"Martin Luther Universitaet Halle-Wittenberg",2023,2218,"10.3390/ijms24031963","false","MDPI_Basel"
8,"Martin Luther Universitaet Halle-Wittenberg",2023,2290,"10.1186/s12889-023-15131-x","false","Springer_Nature"
9,"Martin Luther Universitaet Halle-Wittenberg",2023,5775,"10.1038/s41467-023-36240-6","false","Springer_Nature"
10,"Martin Luther Universitaet Halle-Wittenberg",2023,2932,"10.1002/cam4.6490","false","Wiley-Blackwell"
11,"Martin Luther Universitaet Halle-Wittenberg",2023,2181,"10.3389/fspor.2023.1170738","false","Frontiers_MEDIA_SA"
12,"Martin Luther Universitaet Halle-Wittenberg",2023,2457,"10.3390/brainsci13081171","false","MDPI_Basel"
13,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-29422-1","false","Springer_Nature"
14,"Martin Luther Universitaet Halle-Wittenberg",2023,2708,"10.3390/ijms24054749","false","MDPI_Basel"
15,"Martin Luther Universitaet Halle-Wittenberg",2023,3301,"10.3389/fpsyt.2023.1167615","false","Frontiers_MEDIA_SA"
16,"Martin Luther Universitaet Halle-Wittenberg",2023,2666,"10.1002/cam4.5687","false","Wiley-Blackwell"
17,"Martin Luther Universitaet Halle-Wittenberg",2023,3333,"10.3389/fonc.2023.1165676","false","Frontiers_MEDIA_SA"
18,"Martin Luther Universitaet Halle-Wittenberg",2023,2129,"10.3389/fsufs.2023.1167686","false","Frontiers_MEDIA_SA"
19,"Martin Luther Universitaet Halle-Wittenberg",2023,2615,"10.3390/cells12091219","false","MDPI_Basel"
20,"Martin Luther Universitaet Halle-Wittenberg",2023,2174,"10.3390/children10050865","false","MDPI_Basel"
21,"Martin Luther Universitaet Halle-Wittenberg",2023,2000,"10.3390/ijms24108664","false","MDPI_Basel"
22,"Martin Luther Universitaet Halle-Wittenberg",2023,636,"10.1016/j.scr.2023.103072","false","Elsevier_BV"
23,"Martin Luther Universitaet Halle-Wittenberg",2023,1090,"10.1177/2041669523121321","false","SAGE Publications"
24,"Martin Luther Universitaet Halle-Wittenberg",2023,884,"10.1177/19476035231161806","false","SAGE Publications"
25,"Martin Luther Universitaet Halle-Wittenberg",2023,2148,"10.2196/47025","false","JMIR Publications Inc."
26,"Martin Luther Universitaet Halle-Wittenberg",2023,5775,"10.1038/s41467-023-37127-2","false","Springer_Nature"
27,"Martin Luther Universitaet Halle-Wittenberg",2023,1961,"10.1186/s13019-023-02184-7","false","Springer_Nature"
28,"Martin Luther Universitaet Halle-Wittenberg",2023,1961,"10.1186/s12864-023-09228-1","false","Springer_Nature"
29,"Martin Luther Universitaet Halle-Wittenberg",2023,2974,"10.3389/fphys.2023.1150484","false","Frontiers_MEDIA_SA"
30,"Martin Luther Universitaet Halle-Wittenberg",2023,1951,"10.3390/healthcare11030310","false","MDPI_Basel"
31,"Martin Luther Universitaet Halle-Wittenberg",2023,1800,"10.1016/j.anifeedsci.2022.115349","false","Wageningen_Academic_Publishers"
32,"Martin Luther Universitaet Halle-Wittenberg",2023,2233,"10.1186/s13014-023-02249-w","false","Springer_Nature"
33,"Martin Luther Universitaet Halle-Wittenberg",2023,2233,"10.1186/s13014-023-02252-1","false","Springer_Nature"
34,"Martin Luther Universitaet Halle-Wittenberg",2023,2800,"10.3389/fevo.2023.1199670","false","Frontiers_MEDIA_SA"
35,"Martin Luther Universitaet Halle-Wittenberg",2023,1835,"10.1021/acsomega.3c02259","false","American Chemical Society (ACS)"
36,"Martin Luther Universitaet Halle-Wittenberg",2023,2938,"10.1038/s41524-023-01009-4","false","Springer_Nature"
37,"Martin Luther Universitaet Halle-Wittenberg",2023,3320,"10.3389/fcimb.2023.1203159","false","Frontiers_MEDIA_SA"
38,"Martin Luther Universitaet Halle-Wittenberg",2023,1348,"10.21203/rs.3.rs-1760231/v2","false","MDPI_Basel"
39,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-33884-8","false","Springer_Nature"
40,"Martin Luther Universitaet Halle-Wittenberg",2023,2233,"10.1186/s13014-023-02266-9","false","Springer_Nature"
41,"Martin Luther Universitaet Halle-Wittenberg",2023,2746,"10.3390/ijms241411727","false","MDPI_Basel"
42,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-34412-4","false","Springer_Nature"
43,"Martin Luther Universitaet Halle-Wittenberg",2023,3407,"10.3389/fcvm.2023.1210801","false","Frontiers_MEDIA_SA"
44,"Martin Luther Universitaet Halle-Wittenberg",2023,2356,"10.3390/land12051012","false","MDPI_Basel"
45,"Martin Luther Universitaet Halle-Wittenberg",2023,2864,"10.3390/v15061284","false","MDPI_Basel"
46,"Martin Luther Universitaet Halle-Wittenberg",2023,540,"10.1107/S205698902300587X","false","International Union of Crystallography (IUCr)"
47,"Martin Luther Universitaet Halle-Wittenberg",2023,3320,"10.1101/2023.04.27.538533","false","Frontiers_MEDIA_SA"
48,"Martin Luther Universitaet Halle-Wittenberg",2023,3320,"10.3389/fsurg.2023.1216093","false","Frontiers_MEDIA_SA"
49,"Martin Luther Universitaet Halle-Wittenberg",2023,3416,"10.1038/s42005-023-01222-z","false","Springer_Nature"
50,"Martin Luther Universitaet Halle-Wittenberg",2023,3167,"10.3390/jcm12134545","false","MDPI_Basel"
51,"Martin Luther Universitaet Halle-Wittenberg",2023,3416,"10.1038/s42003-023-04885-0","false","Springer_Nature"
52,"Martin Luther Universitaet Halle-Wittenberg",2023,3684,"10.1186/s12943-023-01787-x","false","Springer_Nature"
53,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-35437-5","false","Springer_Nature"
54,"Martin Luther Universitaet Halle-Wittenberg",2023,333,"10.1107/S2414314623004595","false","International Union of Crystallography (IUCr)"
55,"Martin Luther Universitaet Halle-Wittenberg",2023,3684,"10.1186/s12943-023-01792-0","false","Springer_Nature"
56,"Martin Luther Universitaet Halle-Wittenberg",2023,1441,"10.1038/s41419-023-06158-4","false","Springer_Nature"
57,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-36144-x","false","Springer_Nature"
58,"Martin Luther Universitaet Halle-Wittenberg",2023,981,"10.1016/j.inat.2023.101796","false","Elsevier_BV"
59,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41597-023-02288-8","false","Springer_Nature"
60,"Martin Luther Universitaet Halle-Wittenberg",2023,2539,"10.1186/s12967-023-04476-x","false","Springer_Nature"
61,"Martin Luther Universitaet Halle-Wittenberg",2023,3065,"10.2147/PPA.S411902","false","Dove Medical Press Ltd."
62,"Martin Luther Universitaet Halle-Wittenberg",2023,669,"10.1002/acn3.51878","false","Wiley-Blackwell"
63,"Martin Luther Universitaet Halle-Wittenberg",2023,2029,"10.1186/s12890-023-02511-7","false","Springer_Nature"
64,"Martin Luther Universitaet Halle-Wittenberg",2023,2856,"10.1136/bmjopen-2022-067934","false","BMJ"
65,"Martin Luther Universitaet Halle-Wittenberg",2023,2437,"10.3390/jpm13071117","false","MDPI_Basel"
66,"Martin Luther Universitaet Halle-Wittenberg",2023,1726,"10.1080/14786451.2023.2260009","false","Taylor_&_Francis"
67,"Martin Luther Universitaet Halle-Wittenberg",2023,2598,"10.3390/v15071431","false","MDPI_Basel"
68,"Martin Luther Universitaet Halle-Wittenberg",2023,2192,"10.3390/toxics11070581","false","MDPI_Basel"
69,"Martin Luther Universitaet Halle-Wittenberg",2023,2389,"10.3390/cells12131775","false","MDPI_Basel"
70,"Martin Luther Universitaet Halle-Wittenberg",2023,1825,"10.1186/s12014-023-09415-y","false","Springer_Nature"
71,"Martin Luther Universitaet Halle-Wittenberg",2023,951,"10.1016/j.inat.2023.101807","false","Elsevier_BV"
72,"Martin Luther Universitaet Halle-Wittenberg",2023,2593,"10.3390/ijms241411562","false","MDPI_Basel"
73,"Martin Luther Universitaet Halle-Wittenberg",2023,2521,"10.3390/molecules28135208","false","MDPI_Basel"
74,"Martin Luther Universitaet Halle-Wittenberg",2023,3320,"10.3389/fimmu.2023.1258013","false","Frontiers_MEDIA_SA"
75,"Martin Luther Universitaet Halle-Wittenberg",2023,2551,"10.1002/aesr.202300138","false","Wiley-Blackwell"
76,"Martin Luther Universitaet Halle-Wittenberg",2023,2863,"10.1038/s41524-023-01084-7","false","Springer_Nature"
77,"Martin Luther Universitaet Halle-Wittenberg",2023,2593,"10.3390/ijms241411776","false","MDPI_Basel"
78,"Martin Luther Universitaet Halle-Wittenberg",2023,2132,"10.3390/pharmaceutics15092300","false","MDPI_Basel"
79,"Martin Luther Universitaet Halle-Wittenberg",2023,2629,"10.3390/ijms241612835","false","MDPI_Basel"
80,"Martin Luther Universitaet Halle-Wittenberg",2023,2071,"10.1038/s41598-023-39982-x","false","Springer_Nature"
81,"Martin Luther Universitaet Halle-Wittenberg",2023,337,"10.1107/S2414314623008015","false","International Union of Crystallography (IUCr)"
82,"Martin Luther Universitaet Halle-Wittenberg",2023,2263,"10.2196/49731","false","JMIR Publications Inc."
83,"Martin Luther Universitaet Halle-Wittenberg",2023,2153,"10.1186/s12913-023-09993-5","false","Springer_Nature"
84,"Martin Luther Universitaet Halle-Wittenberg",2023,3303,"10.3389/fcvm.2023.1288128","false","Frontiers_MEDIA_SA"
85,"Martin Luther Universitaet Halle-Wittenberg",2023,2910,"10.3390/land12091809","false","MDPI_Basel"
86,"Martin Luther Universitaet Halle-Wittenberg",2023,3407,"10.3389/fpubh.2023.1284350","false","Frontiers_MEDIA_SA"
87,"Martin Luther Universitaet Halle-Wittenberg",2023,2475,"10.1002/aelm.202300325","false","Wiley-Blackwell"
88,"Martin Luther Universitaet Halle-Wittenberg",2023,2802,"10.3389/fphy.2023.1299522","false","Frontiers_MEDIA_SA"
89,"Martin Luther Universitaet Halle-Wittenberg",2023,2197,"10.3389/femer.2023.1302612","false","Frontiers_MEDIA_SA"
90,"Martin Luther Universitaet Halle-Wittenberg",2023,2440,"10.1080/19336918.2023.2276615","false","Taylor_&_Francis"
91,"Martin Luther Universitaet Halle-Wittenberg",2023,2136,"10.3389/femer.2023.1302613","false","Frontiers_MEDIA_SA"
92,"Martin Luther Universitaet Halle-Wittenberg",2023,3334,"10.3389/fphys.2023.1236223","false","Frontiers_MEDIA_SA"
93,"Martin Luther Universitaet Halle-Wittenberg",2023,543,"10.1107/S2056989023010137","false","International Union of Crystallography (IUCr)"
94,"Martin Luther Universitaet Halle-Wittenberg",2023,2993,"10.3390/cells12232722","false","MDPI_Basel"
95,"Martin Luther Universitaet Halle-Wittenberg",2023,2950,"10.1103/PhysRevResearch.5.043263","false","American Physical Society (APS)"
96,"Martin Luther Universitaet Halle-Wittenberg",2023,1502,"10.3390/catal11121466","false","MDPI_Basel"
97,"Martin Luther Universitaet Halle-Wittenberg",2023,1825,"10.1186/s12909-023-04012-x","false","Springer_Nature"
98,"Martin Luther Universitaet Halle-Wittenberg",2023,1714,"10.1002/ece3.10002","false","Wiley-Blackwell"
99,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41598-022-23104-0","false","Springer_Nature"
100,"Martin Luther Universitaet Halle-Wittenberg",2023,525,"10.1016/j.diggeo.2023.100054","false","Elsevier_BV"
101,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41598-022-23132-w","false","Springer_Nature"
102,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41597-022-01691-x","false","Springer_Nature"
103,"Martin Luther Universitaet Halle-Wittenberg",2023,2726,"10.3390/ijerph192316086","false","MDPI_Basel"
104,"Martin Luther Universitaet Halle-Wittenberg",2023,3099,"10.1136/bmjopen-2021-051383","false","Frontiers_MEDIA_SA"
