institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
Stockholms universitet,2025, 8450.09,,FALSE,Koninklijke Brill BV,Treated like a child          ,9789004708426,,
Stockholms universitet,2025, 2639.75,10.21832/ahlgre1625,FALSE,Universidad Autónoma de Madrid,Languages We Live By: A Guide to Promote Critical Sociolinguistic Awareness,,,
Stockholms universitet,2026,,10.1515/9783111347998,FALSE,John Benjamins publi,Tense and Aspect in Multilingual Romance Language Education,,,
Stockholms universitet,2025, 9754.41,10.1007/978-3-031-99481-4,FALSE,Springer Nature CSC,"Fashion Communication in the Digital Age, Proceedings of the FACTUM 25 Conference, Stockholm, Sweden, 2025",,,
Stockholms universitet,2025, 5584.73,10.16993/bcs,FALSE,Stockholm University Press,Passages francophones du Maghreb et transfert culture,,,
Stockholms universitet,2025, 7496.78,10.16993/bcu,FALSE,Stockholm University Press,Indo-European Ecologies,,,
Stockholms universitet,2025,10424.54,10.16993/bcv,FALSE,Stockholm University Press,"Peter Artedi: Reformer of 18th Century Zoology, Vol. II",,,
Stockholms universitet,2026,,10.51952/9781529257700,FALSE,University of Bristol,Education and Civil Repair,9781529257687,,
Stockholms universitet,2025, 6398.93,10.16993/bcw,FALSE,Stockholm University Press,Indo-European Afterlive,,,
Stockholms universitet,2026,,10.1017/9781009780636,FALSE,Cambridge University,Corporate Climate Adaptation,,,
Stockholms universitet,2026,,10.4324/9781003699408,FALSE,Taylor & Francis,"Material Culture in the Swedish Navy, c. 1450-1850",9781003699408,,
Stockholms universitet,2025,12166.46,10.1017/9781009640817,FALSE,Cambridge University,Negotiating Imperialism: Murakami Naojirō's Archival Diplomacy,,,
