institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
Stockholms universitet,2023,16239.69,10.4324/9780367422080,FALSE,Informa UK Ltd- USD,Routledge Handbook of Civil and Uncivil Society in Southeast Asia ,,,
Stockholms universitet,2023, 2613.00,10.1515/9783111198750,FALSE,De Gruyter,The Demise of Norse Religion,,,
Stockholms universitet,2023, 1911.96,10.5040/9781509941629,TRUE,Bloomsbury Publishin,Rule of Law in the EU: 30 Years After the Fall of the Berlin Wall,,,
Stockholms universitet,2023, 5002.67,10.16993/bbs,FALSE,Ubiquity Press Ltd,Basic Numerical Methods in Meteorology and Oceanography ,,,
Stockholms universitet,2023, 4476.33,10.16993/bcd,FALSE,Ubiquity Press Ltd,Negatives and Meaning: Social Settingand Pragmatic Effects,,,
Stockholms universitet,2023, 7899.81,10.1163/9789004511163,FALSE,Brill,"The Rights of the Child: Legal, Political and Ethical Challenges ",,,
Stockholms universitet,2023, 4393.05,,,Cambridge University,Othering and Stratification in a Diachronic News Corpus,9781009029063,,
Stockholms universitet,2023, 2060.30,10.16993/bce,FALSE,Ubiquity Press Ltd,"Performing the Eighteenth Century: Theatrical Discourses, Practices, and Artefacts",,,
Stockholms universitet,2023, 8449.94,10.1515/9783110799330,FALSE,Walter de Gruyter Gm,"Body, Gender, Senses: Subversive Expressions in Early Modern Art and Literature",,,
Stockholms universitet,2023, 8838.27,10.1108/9781801173742,FALSE,Emerald Publishing L,Obsessive Measurement Disorder or Pragmatic Bureaucracy? ,,,
Stockholms universitet,2023, 4494.84,10.16993/bcg,FALSE,Ubiquity Press Ltd,Le transfert des littératuresfrancophones en(tre) périphérie,,,
