institution;period;euro;doi;is_hybrid;agreement;opt-out
IRS;2021;2492,17;10.1111/tran.12475;TRUE;DEAL Wiley;FALSE
IRS;2021;2492,17;10.1111/ijtd.12242;TRUE;DEAL Wiley;FALSE

