institution,period,euro,doi,backlist_oa,publisher,book_title,isbn,isbn_print,isbn_electronic,license_ref
U Giessen,2020,8120,10.1515/9783110669398,FALSE,de Gruyter,Futures of the study of culture : interdisciplinary perspectives, global challenges,978-3-11-066939-8,978-3-11-065509-4,978-3-11-066939-8,CC BY NC ND
U Giessen,2021,5157,10.1515/9783110727555,FALSE,de Gruyter,Hispanos en el mundo : emociones y desplazamientos históricos, viajes y migracione,978-3-11072755-5,978-3-11-072753-1,978-3-11072755-5,CC-BY
U Giessen,2021,6960,10.14361/9783839455326,FALSE,transcript,Multispezies-Ethnographie : zur Methodik einer ganzheitlichen Erforschung von Mensch Natur und Kultur,978-3-8394-5532-6,978-3-8376-5532-2,978-3-8394-5532-6,CC BY NC ND
U Giessen,2022,7140,10.14361/9783839452721,FALSE,transcript,Politiken der Reproduktion : umkämpfte Forschungsperspektiven und Praxisfelder,978-3-8394-5272-1,978-3-8376-5272-7,978-3-8394-5272-1,CC BY
U Giessen,2022,7140,10.24053/9783823394945,FALSE,Narr,Lockdown Homeschooling und Social Distancing: der Zweitspracherwerb unter akut veränderten Bedingungen der COVID-19-Pandemie,978-3-8233-9494-5,978-3-8233-8494-6,978-3-8233-9494-5,CC BY SA
U Giessen,2023,7140,10.1515/9783110990379,FALSE,de Gruyter,Fallbuch Asylrecht : mit Bezügen zum Aufenthaltsrecht,978-3-11-099037-9,978-3-11-100004-6,978-3-11-099037-9,CC BY SA
U Giessen,2023,8330,10.1515/9783110793840,FALSE,de Gruyter,Multimodale Interaktionsanalyse : Konzeptualisierung von Integration bei Brasilianer:innen in Deutschland,978-3-11-079384-0,978-3-11-079378-9,978-3-11-079384-0,CC BY NC ND
