"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Giessen U",2020,8120,"10.1515/9783110669398",FALSE,"De Gruyter","Futures of the Study of Culture","978-3-11-066939-8","978-3-11-065509-4","978-3-11-066939-8","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"Giessen U",2021,2579,"10.1515/9783110727555",FALSE,"De Gruyter","Hispanos en el mundo","978-3-11-072755-5","978-3-11-072753-1","978-3-11-072755-5","http://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"Giessen U",2021,6960,"10.14361/9783839455326",FALSE,"transcript Verlag","Multispezies-Ethnographie","978-3-8376-5532-2","978-3-8376-5532-2","978-3-8394-5532-6","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"Giessen U",2022,7140,"10.14361/9783839452721",FALSE,"transcript Verlag","Politiken der Reproduktion","978-3-8376-5272-7","978-3-8376-5272-7","978-3-8394-5272-1","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"Giessen U",2022,7140,"10.24053/9783823394945",FALSE,"Gunter Narr Verlag","Lockdown, Homeschooling und Social Distancing – der Zweitspracherwerb unter akut veränderten Bedingungen der COVID-19-Pandemie","978-3-8233-9494-5","978-3-8233-9494-5","978-3-8233-9494-5","CC BY SA",TRUE,TRUE
"Giessen U",2023,7140,"10.1515/9783110990379",FALSE,"De Gruyter","Fallbuch Asylrecht","978-3-11-099037-9","978-3-11-100004-6","978-3-11-099037-9","https://creativecommons.org/licenses/by-sa/4.0",TRUE,TRUE
"Giessen U",2023,8330,"10.1515/9783110793840",FALSE,"De Gruyter","Multimodale Interaktionsanalyse","978-3-11-079384-0","978-3-11-079378-9","978-3-11-079384-0","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
