institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL
Goethe-Universität Frankfurt am Main;2021;187.44;10.3390/cancers13092181;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;4383.63;10.1063/5.0037836;TRUE;;;;
