institution,period,euro,DOI,is_hybrid
ZHAW Zurich University of Applied Sciences,2022,CHF 7001,doi.org/10.5771/9783748933106,false
ZHAW Zurich University of Applied Sciences,2022,CHF 7883,10.1017/9781009216500,false
ZHAW Zurich University of Applied Sciences,2022,CHF 8743,10.1371/journal.pone.0270145,false
