institution,period,euro,doi,backlist_oa
ZHAW Zurich University of Applied Sciences,2024,3552.17,10.3256/978-3-03929-070-3,false
ZHAW Zurich University of Applied Sciences,2024,5621.20,10.3218/4180-4,false
