"institution","period","currency","chf","DOI","is_hybrid","euro"
ZHAW Zurich University of Applied Sciences,2022,CHF,350,10.19229/2464-9309/11222022,false,348.36
ZHAW Zurich University of Applied Sciences,2022,CHF,570,10.3389/fcomp.2022.930741,false,567.33
ZHAW Zurich University of Applied Sciences,2022,CHF,823,10.3389/fcomm.2022.859714,false,819.14
ZHAW Zurich University of Applied Sciences,2022,CHF,965,10.3390/jrfm15090374,false,960.48
ZHAW Zurich University of Applied Sciences,2022,CHF,978,10.3389/fcomp.2022.1041703,false,973.42
ZHAW Zurich University of Applied Sciences,2022,CHF,993,10.3390/jrfm15050223,false,988.35
ZHAW Zurich University of Applied Sciences,2022,CHF,1023,10.1177/21501319221119142,false,1018.2
ZHAW Zurich University of Applied Sciences,2022,CHF,1190,10.1186/s41927-022-00270-2,false,1184.42
ZHAW Zurich University of Applied Sciences,2022,CHF,1198,10.1177/21501319221103961,false,1192.38
ZHAW Zurich University of Applied Sciences,2022,CHF,1206,10.3390/horticulturae8090778,false,1200.35
ZHAW Zurich University of Applied Sciences,2022,CHF,1327,10.3390/polym14235142,false,1320.78
ZHAW Zurich University of Applied Sciences,2022,CHF,1366,10.1021/acsomega.2c03385,false,1359.6
ZHAW Zurich University of Applied Sciences,2022,CHF,1547,10.3390/math10132156,false,1539.75
ZHAW Zurich University of Applied Sciences,2022,CHF,1626,10.3390/ijms232012085,false,1618.38
ZHAW Zurich University of Applied Sciences,2022,CHF,1628,10.3389/fpsyg.2022.982302,false,1620.37
ZHAW Zurich University of Applied Sciences,2022,CHF,1655,10.3390/pr10050911,false,1647.24
ZHAW Zurich University of Applied Sciences,2022,CHF,1704,10.3389/fceng.2022.1021416,false,1696.01
ZHAW Zurich University of Applied Sciences,2022,CHF,1733,10.3390/app11188760,false,1724.88
ZHAW Zurich University of Applied Sciences,2022,CHF,1733,10.3390/molecules26195752,false,1724.88
ZHAW Zurich University of Applied Sciences,2022,CHF,1747,10.1186/s12912-022-00946-7,false,1738.81
ZHAW Zurich University of Applied Sciences,2022,CHF,1757,10.1186/s40814-022-01086-0,false,1748.76
ZHAW Zurich University of Applied Sciences,2022,CHF,1768,10.3390/en15165902,false,1759.71
ZHAW Zurich University of Applied Sciences,2022,CHF,1768,10.3390/en15176354,false,1759.71
ZHAW Zurich University of Applied Sciences,2022,CHF,1887,10.1136/bmjopen-2021-057993,false,1878.16
ZHAW Zurich University of Applied Sciences,2022,CHF,1891,10.3390/en15134547,false,1882.14
ZHAW Zurich University of Applied Sciences,2022,CHF,2001,10.3390/app122010566,false,1991.62
ZHAW Zurich University of Applied Sciences,2022,CHF,2009,10.1186/s12877-022-03476-8,false,1999.58
ZHAW Zurich University of Applied Sciences,2022,CHF,2071,10.1038/s41598-022-19823-z,false,2061.29
ZHAW Zurich University of Applied Sciences,2022,CHF,2123,10.1186/s12884-022-05178-w,false,2113.05
ZHAW Zurich University of Applied Sciences,2022,CHF,2124,10.1186/s12912-022-00947-6,false,2114.04
ZHAW Zurich University of Applied Sciences,2022,CHF,2136,10.3390/nu14153204,false,2125.99
ZHAW Zurich University of Applied Sciences,2022,CHF,2185,10.3389/fneur.2022.809391,false,2174.76
ZHAW Zurich University of Applied Sciences,2022,CHF,2185,10.3389/fpubh.2022.828584,false,2174.76
ZHAW Zurich University of Applied Sciences,2022,CHF,2210,10.2196/34472,false,2199.64
ZHAW Zurich University of Applied Sciences,2022,CHF,2521,10.3389/fpsyg.2022.902869,false,2509.18
ZHAW Zurich University of Applied Sciences,2022,CHF,2557,10.3389/feart.2022.945377,false,2545.01
ZHAW Zurich University of Applied Sciences,2022,CHF,2631,10.3389/fpsyg.2022.1022477,false,2618.67
ZHAW Zurich University of Applied Sciences,2022,CHF,1615,10.3389/fspor.2022.880294,false,1607.43
