"institution","period","chf","doi","backlist_oa","currency","euro"
"ZHAW Zurich University of Applied Sciences","2025","6539.96","10.1007/978-3-032-03273-7","false","CHF","6979.45"
"ZHAW Zurich University of Applied Sciences","2025","7499.04","10.1007/978-3-031-89045-1","false","CHF","8002.98"
