institution,period,euro,doi,backlist_oa,book_title,isbn_1,isbn_2,isbn_3
Universität Leipzig,2022,3059.49,10.1515/9783839460054,FALSE,Fat (studies). Ein Glossar,978-3-8394-6005-4,978-3-8376-6005-0,
Universität Leipzig,2022,2400,10.35468/5980,FALSE,Macht in der Schule – Perspektiven in schwerer und einfacher Sprache,978-3-7815-5980-6,978-3-7815-2540-5,
Universität Leipzig,2021,1666,10.31244/9783830994565,FALSE,Bildung in der digitalen Transformation,978-3-8309-9456-0,978-3-8309-4456-0,
Universität Leipzig,2022,2683.45,10.14361/9783839458075,FALSE,Gender Studies im Dialog. Transnationale und transdisziplinäre Perspektiven,978-3-8394-5807-5,978-3-8376-5807-1,
Universität Leipzig,2023,3450,10.53186/1030213,FALSE,Grausamkeit – Philosophische Positionen von der Antike bis in die Gegenwart,978-3-534-40794-1,978-3-534-40795-8,
Universität Leipzig,2023,7140,10.12907/978-3-593-45096-4,FALSE,Kultursoziologische Stadtforschung,978-3-593-45096-4,978-3-593-51586-1,
Universität Leipzig,2023,3980,10.3262/978-3-7799-7496-3,FALSE,Inklusive Bildung und Rechtspopulismus. Analysen und Handlungsmöglichkeiten,978-3-7799-7496-3,978-3-7799-7495-6,
Universität Leipzig,2023,7000,10.1515/9783110694536,FALSE,Handbuch Religionskunde in Deutschland,978-3-11-069441-3,978-3-11-069453-6,978-3-11-069462-8
Universität Leipzig,2023,3570,10.26530/20.500.12657/85014,FALSE,Gardens of the Iberian Peninsula. New perspectives on an entangled history,978-3-7329-8918-8,,
Universität Leipzig,2023,3000,10.53291/9783949925092,FALSE,"Eigentum, Medien, Öffentlichkeit. Verhandlungen des Netzwerks Kritische Kommunikationswissenschaft",978-3-949925-09-2,978-3-949925-08-5,
Universität Leipzig,2023,4980,,FALSE,"Inklusive Bildung in Island. Grundlagen, Praktiken und Reflexionen",978-3-7799-7433-8,978-3-7799-7432-1,
Universität Leipzig,2023,3000,10.28937/978-3-7873-4359-1,FALSE,Materialität und Sozialität des selbstbewussten Subjekts. Die Subjektivität des denkenden Lebewesens und sein Widerspruch,978-3-7873-4359-1,978-3-7873-4358-4,
Universität Leipzig,2023,5270,10.21240/mpaed/jb19.x,FALSE,Jahrbuch Medienpädagogik 19: Gesellschaftlicher Zusammenhalt: Kommunikation und Konsens,978-3-98563-991-5,978-3-98563-990-8,
Universität Leipzig,2023,8330,10.1515/9783110776546,FALSE,The Science-Media Interface,978-3-11-077636-2,978-3-11-077654-6,978-3-11-077663-8
