"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Leipzig U",2022,3059.49,"10.1515/9783839460054",FALSE,"transcript Verlag","Fat Studies","978-3-8394-6005-4",NA,"978-3-8394-6005-4","https://creativecommons.org/licenses/by-sa/4.0",TRUE,TRUE
"Leipzig U",2022,2400,"10.35468/5980",FALSE,"Verlag Julius Klinkhardt","Macht in der Schule. Wissen – Sichtweisen – Erfahrungen. Texte in Leichter Sprache, Einfacher Sprache und Fachsprache","978-3-7815-2540-5","978-3-7815-2540-5",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/deed.de",TRUE,TRUE
"Leipzig U",2021,1666,"10.31244/9783830994565",FALSE,"Waxmann Verlag","Bildung in der digitalen Transformation","978-3-8309-4456-0","978-3-8309-4456-0",NA,"https://creativecommons.org/licenses/by-nc-sa/4.0/",TRUE,TRUE
"Leipzig U",2022,2683.45,"10.14361/9783839458075",FALSE,"transcript Verlag","Gender Studies im Dialog","978-3-8376-5807-1","978-3-8376-5807-1","978-3-8394-5807-5","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"Leipzig U",2023,3450,"10.53186/1030213",FALSE,"wbg Academic","Grausamkeit. Philosophische Positionen von der Antike bis in die Gegenwart","978-3-534-40794-1",NA,978-3-534-40795-8,"http://creativecommons.org/licenses/by/4.0",FALSE,TRUE
"Leipzig U",2023,7140,"10.12907/978-3-593-45096-4",FALSE,NA,"Kultursoziologische Stadtforschung","978-3-593-45096-4","978-3-593-51586-1","978-3-593-45096-4",NA,FALSE,FALSE
"Leipzig U",2023,3980,"10.3262/978-3-7799-7496-3",FALSE,"Beltz","Inklusive Bildung und Rechtspopulismus. Grundlagen, Analysen und Handlungsmöglichkeiten","978-3-7799-7496-3",978-3-7799-7495-6,NA,NA,FALSE,TRUE
"Leipzig U",2023,7000,"10.1515/9783110694536",FALSE,"De Gruyter","Handbuch Religionskunde in Deutschland","978-3-11-069453-6",NA,"978-3-11-069453-6","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Leipzig U",2023,3570,"10.26530/20.500.12657/85014",FALSE,"Frank & Timme","Gardens of the Iberian Peninsula : New perspectives on an entangled history","978-3-7329-8918-8","978-3-7329-8918-8",NA,NA,TRUE,FALSE
"Leipzig U",2023,3000,"10.53291/9783949925092",FALSE,"Westend Verlag","Eigentum, Medien, Öffentlichkeit","978-3-949925-08-5","978-3-949925-08-5",NA,NA,TRUE,FALSE
"Leipzig U",2023,4980,NA,FALSE,"Beltz","Inklusive Bildung in Island. Grundlagen, Praktiken und Reflexionen","978-3-7799-7433-8","978-3-7799-7432-1",NA,NA,FALSE,TRUE
"Leipzig U",2023,3000,"10.28937/978-3-7873-4359-1",FALSE,"FELIX MEINER VERLAG","Materialität und Sozialität des selbstbewussten Subjekts","978-3-7873-4359-1",NA,"978-3-7873-4359-1",NA,TRUE,FALSE
"Leipzig U",2023,5270,"10.21240/mpaed/jb19.x",FALSE,"Rummler OAPublishing","Jahrbuch Medienpädagogik 19: Gesellschaftlicher Zusammenhalt: Kommunikation und Konsens","978-3-98563-991-5","978-3-98563-990-8",NA,NA,FALSE,FALSE
"Leipzig U",2023,8330,"10.1515/9783110776546",FALSE,"De Gruyter","The Science-Media Interface","978-3-11-077654-6",NA,"978-3-11-077654-6","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
