"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Leipzig U",2020,3010.2,"10.5771/9783748909279",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Vertragsrecht in der Coronakrise","978-3-7489-0927-9","978-3-7489-0927-9",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Leipzig U",2021,2971.83,"10.53291/gfng8688",FALSE,"Westend Verlag","Transformation der Medien – Medien der Transformation","978-3-86489-340-7","978-3-86489-340-7","978-3-86489-845-7",NA,TRUE,FALSE
"Leipzig U",2021,2980,NA,FALSE,"Beltz","Menschenrechte im interdisziplinären Diskurs. Perspektiven auf Diskriminierungsstrukturen und pädagogische Handlungsmöglichkeiten","978-3-7799-5726-3","978-3-7799-6416-2","978-3-7799-5726-3",NA,FALSE,FALSE
"Leipzig U",2021,7140,"10.14361/9783839457337",FALSE,"transcript Verlag","Post-Growth Geographies","978-3-8376-5733-3","978-3-8376-5733-3","978-3-8394-5733-7","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"Leipzig U",2021,7780.23,"10.5771/9783748925248",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Das Gesetz gegen Doping im Sport in der Praxis – Eine Evaluierung","978-3-7489-2524-8","978-3-7489-2524-8",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"Leipzig U",2021,3031,"10.35468/5920",FALSE,"Verlag Julius Klinkhardt","Differenzerfahrungen und deren künstlerischer Ausdruck in Collagen. Am Beispiel Hannah Höchs","978-3-7815-2483-5","978-3-7815-2483-5",NA,NA,TRUE,TRUE
"Leipzig U",2021,6295.1,"10.14361/9783839461303",FALSE,"transcript Verlag","Beyond Narrative","978-3-8376-6130-9","978-3-8376-6130-9","978-3-8394-6130-3","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Leipzig U",2021,2945.25,"10.1553/978oeaw85178",FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","Ein Besteller der islamischen Vormoderne","978-3-7001-8517-8","978-3-7001-8517-8",NA,NA,TRUE,FALSE
