institution,period,euro,doi,backlist_oa,book_title,isbn
Universität Leipzig,2020,3010.2,10.5771/9783748909279,FALSE,Vertragsrecht in der Coronakrise. Online-Tagung im April 2020,
Universität Leipzig,2021,2971.83,10.53291/GFNG8688,FALSE,Transformation der Medien – Medien der Transformation. Verhandlungen des Netzwerks Kritische Kommunikationswissenschaft,
Universität Leipzig,2021,2980.0,,FALSE,Menschenrechte im interdisziplinären Diskurs. Perspektiven auf Diskriminierungsstrukturen und pädagogische Handlungsmöglichkeiten,978-3-7799-5726-3
Universität Leipzig,2021,7140.0,10.14361/9783839457337,FALSE,Post-Growth Geographies. Spatial Relations of Diverse and Alternative Economies,
Universität Leipzig,2021,7780.23,10.5771/9783748925248,FALSE,Das Gesetz gegen Doping im Sport in der Praxis – Eine Evaluierung,
Universität Leipzig,2021,3031.0,10.35468/5920,FALSE,Differenzerfahrungen und deren künstlerischer Ausdruck in Collagen – am Beispiel Hannah Höchs,
Universität Leipzig,2021,6295.1,10.14361/9783839461303,FALSE,Beyond Narrative. Exploring Narrative Liminality and Its Cultural Work,
Universität Leipzig,2021,2945.25,10.1553/978OEAW85178,FALSE,Ein Bestseller der islamischen Vormoderne. Zur Verbreitung von Ḫvāndamīrs Ḥabīb as-siyar von Anatolien bis auf den indischen Subkontinent,
