institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;issn_print;issn_electronic;indexed_in_CrossRef;pmid;pmcid;DOAJ;license_ref
Hamburg TUHH;2016;1053,15;https://doi.org/10.1186/s40064-016-1968-0;FALSE;Springer Open;SpringerPlus;2193-1801;NA; 2193-1801;TRUE;27066347;PMC4788654;TRUE;http://creativecommons.org/licenses/by/4.0/
Hamburg TUHH;2016;1427,92;https://doi.org/10.1364/PRJ.4.000126;FALSE;Optical Society of America (OSA) / Chinese Laser Press;Photonics Research;2327-9125;NA;2327-9125;TRUE;NA;NA;FALSE;NA
Hamburg TUHH;2016;935,63;https://doi.org/10.1049/joe.2015.0163;FALSE;IET The Institution of Engineering and Technology;The Journal of Engineering;2051-3305;NA;2051-3305;TRUE;NA;NA;TRUE;http://creativecommons.org/licenses/by/3.0/
Hamburg TUHH;2016;2225,37;https://doi.org/10.1155/2016/3847163;FALSE;Hindawi Publishing Corporation;Mathematical Problems in Engineering;1563-5147;1024-123X;1563-5147;TRUE;NA;NA;TRUE;http://creativecommons.org/licenses/by/4.0/
