institution;period;euro;doi;is_hybrid;;
Hamburg TUHH;2019;1773,1;https://doi.org/10.1038/s41598-019-42294-8;FALSE;; 
Hamburg TUHH;2019;1844,5;https://doi.org/10.1016/j.mec.2019.e00094;FALSE;;
Hamburg TUHH;2019;1773,1;https://doi.org/10.1038/s41598-019-43640-6;FALSE;;
Hamburg TUHH;2019;444,37;https://doi.org/10.3390/lubricants7080064;FALSE;;
Hamburg TUHH;2019;1417,54;https://doi.org/10.3390/polym11020363;FALSE;;
Hamburg TUHH;2019;1699,61;https://doi.org/10.3390/s19092094;FALSE;;
Hamburg TUHH;2019;1701,38;https://doi.org/10.3390/en12061003;FALSE;;
Hamburg TUHH;2019;1444,93;https://doi.org/10.3390/ma12132178;FALSE;;
Hamburg TUHH;2019;1898,05;https://doi.org/10.1186/s13321-019-0382-3;FALSE;;
Hamburg TUHH;2019;177,16;https://doi.org/10.3390/act8030062;FALSE;;
Hamburg TUHH;2019;1524,88;https://doi.org/10.3390/nano9040643;FALSE;;
Hamburg TUHH;2019;1131,29;https://doi.org/10.3390/en12050784;FALSE;;
Hamburg TUHH;2019;1602,66;https://doi.org/10.3390/su11041137;FALSE;;
Hamburg TUHH;2019;286,5;https://doi.org/10.3390/robotics8030072;FALSE;;
Hamburg TUHH;2019;1773,1;https://doi.org/10.1038/s41598-019-47963-2;FALSE;;
Hamburg TUHH;2019;981,17;https://doi.org/10.3390/pr7080535;FALSE;;
Hamburg TUHH;2019;331,96;https://doi.org/10.3390/act8010002;FALSE;;
Hamburg TUHH;2019;811,48;https://doi.org/10.3390/robotics8040099;FALSE;;
Hamburg TUHH;2019;3.058,30;https://doi.org/10.1038/s42003-019-0679-9;FALSE;;
Hamburg TUHH;2019;819,92;https://doi.org/10.3390/a12090192;FALSE;;
Hamburg TUHH;2019;1.951,60;https://doi.org/10.1016/j.egyr.2019.10.003;FALSE;;
Hamburg TUHH;2019;1.449,90;https://doi.org/10.1002/ces2.10015;FALSE;;
Hamburg TUHH;2019;1.904,00;https://doi.org/10.1088/1367-2630/ab4938;FALSE;;
;;;;;;
 ; ;;; ;;
 ;;;;;;
Stand: 2.7.2020, Ha;;;;;;
