Institution;DOI;Name des Verlags;Publikationsform;CC-Lizenz;Euro netto; Euro brutto ;Kostensplitting;Gebührenart;agreement;Rechnungsjahr / Lizenzjahr;Publikationsjahr;is_hybrid
Augsburg U;10.1016/j.radcr.2024.11.063;Elsevier;journal article;CC BY;400;428;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s12933-024-02551-1;Springer;journal article;CC BY;2.359,28;2.524,43;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41535-025-00730-1 ;Springer;journal article;CC BY;2.007,18;2.147,68;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1096/fba.2024-00178;Wiley;journal article;CC BY;2.344,00;2.508,08;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.heliyon.2024.e41420;Elsevier;journal article;CC BY-NC;1.624,00;1.737,68;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2025;FALSE
Augsburg U;10.1186/s12014-025-09530-y;Springer;journal article;CC BY;1.643,24;1.758,27;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s12967-025-06277-w;Springer;journal article;CC BY;2.285,85;2.445,86;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-93153-8;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.seja.2025.100101;Elsevier;journal article;CC BY;2.008,00;2.148,56;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s12909-025-07018-9;Springer;journal article;CC BY;1.643,24;1.758,27;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-93658-2;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41467-025-58413-1;Springer;journal article;CC BY;5.198,26;5.562,14;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s42003-025-08102-y;Springer;journal article;CC BY-NC-ND;3.075,75;3.290,62;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.cjco.2025.05.001;Elsevier;journal article;CC BY-NC-ND;832;890,24;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-02305-3;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-02212-7;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1002/2056-4538.70023;Wiley;journal article;CC BY;2.144,00;2.294,08;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1002/deo2.70150;Wiley;journal article;CC BY;900;963;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1155/cris/9950558;Wiley;journal article;CC BY;520;556,4;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-05484-1;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.deman.2025.100270;Elsevier;journal article;CC BY-NC;1.840,00;1.968,80;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1038/s41535-025-00785-0;Springer;journal article;CC BY;2.007,18;2.147,68;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.osep.2025.06.001;Elsevier;journal article;CC BY;0;0;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s13244-025-02027-0;Springer;journal article;CC BY;1.657,99;1.774,05;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-06443-6;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.dib.2025.111496;Elsevier;journal article;CC BY;736;787,52;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.scog.2025.100364;Elsevier;journal article;CC BY;2.280,00;2.439,60;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.diggeo.2025.100133;Elsevier;journal article;CC BY;665;711,55;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-12713-0;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-12875-x;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.ejcped.2025.100318;Elsevier;journal article;CC BY;1.095,00;1.171,65;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.cjco.2025.07.015;Elsevier;journal article;CC BY;1.936,00;2.071,52;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s42155-025-00578-3;Springer;journal article;CC BY;1.007,24;1.077,64;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s12880-025-01849-0;Springer;journal article;CC BY;1.826,84;1.954,72;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.eclinm.2025.103410;Elsevier;journal article;CC BY;4479,5;4.793,07;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s12944-025-02694-4;Springer;journal article;CC BY;1.643,24;1.758,27;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1161/JAHA.125.041945;Wiley;journal article;CC BY;2.472,00;2.645,04;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.jcomc.2025.100643;Elsevier;journal article;CC BY;1.800,00;1.926,00;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1007/s44197-025-00459-x;Springer;journal article;CC BY;895,04;957,69;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.esmorc.2025.100026;Elsevier;journal article;CC BY;2.312,00;2.473,84;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s12911-025-03148-8;Springer;journal article;CC BY;1.735,04;1.856,49;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-17139-2;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s43856-025-01124-x;Springer;journal article;CC BY;2.982,44;3.191,21;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s12911-025-03179-1;Springer;journal article;CC BY;1.735,04;1.856,49;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-24566-8;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s13023-025-04093-5;Springer;journal article;CC BY;1.924,72;2.059,45;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s13550-025-01324-5;Springer;journal article;CC BY;2.031,16;2.173,34;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s43856-025-01201-1;Springer;journal article;CC BY;2.982,44;3.191,21;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s40478-025-02129-2;Springer;journal article;CC BY;2.365,85;2.531,46;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1038/s41598-025-25119-9;Springer;journal article;CC BY;1.864,65;1.995,18;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.ejtl.2025.100166;Elsevier;journal article;CC BY;1.024,00;1.095,68;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s13071-025-07115-0;Springer;journal article;CC BY;1.890,78;2.023,13;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.euros.2025.10.018;Elsevier;journal article;CC BY;1.344,00;1.438,08;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.esmorc.2025.100118;Elsevier;journal article;CC BY-NC;2.312,00;2.473,84;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1186/s40359-025-03810-w;Springer;journal article;CC BY;973,08;1.041,20;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1186/s12875-025-03114-3;Springer;journal article;CC BY;1.700,76;1.819,81;;gold-oa;Springer Nature (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1016/j.dib.2025.112355;Elsevier;journal article;CC BY;928;992,96;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.actpsy.2025.106058;Elsevier;journal article;CC BY;1.640,00;1.754,80;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1016/j.jvsvi.2025.100340;Elsevier;journal article;CC BY;1.496,00;1.600,72;;gold-oa;Elsevier (DEAL) 2023-2028;2025;2025;FALSE
Augsburg U;10.1002/cam4.71305;Wiley;journal article;CC BY;2.848,00;3.047,36;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1002/adsr.70001;Wiley;journal article;CC BY;1.848,00;1.977,36;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
Augsburg U;10.1002/JVC2.70051;Wiley;journal article;CC BY;720;770,4;;gold-oa;Wiley (DEAL) 2024-2028;2025;2025;FALSE
