Zuordnung zu Transformationsvertrag;Lizenzjahr;Anteil, auf den sich die Rechnungsposition bezieht;Originalwährung;Rechnungsbetrag in Originalwährung;Euro netto;Steuersatz;Euro brutto;Rechnungsjahr;;
Springer (DEAL) 2024-2028;2024;Subskriptionsanteil;EUR;;21.870,00;7,00%;23.400,90;2024;;
Springer (DEAL) 2024-2028;2024;Publikationsanteil;EUR;;160.380,00;7,00%;171.606,60;2024;;
Wiley (DEAL) 2024-2028;2024;Subskriptionsanteil;EUR;;11.380,90;7,00%;12.177,56;2024;;
Wiley (DEAL) 2024-2028;2024;Publikationsanteil;EUR;;55.565,60;19,00%;66.123,06;2024;;
Elsevier (DEAL) 2023-2028;2024;Subskriptionsanteil;EUR;;40.986,00;7,00%;43.855,02;2024;;
Elsevier (DEAL) 2023-2028;2024;Publikationsanteil;EUR;;61.479,00;7,00%;65.782,53;2024;;
AIP (TIB) 2024-2026;2024;Subskriptionsanteil;EUR;;19.078,18;7,00%;20.413,65;2024;;
AIP (TIB) 2024-2026;2024;Publikationsanteil;EUR;;8.349,57;19,00%;9.935,99;2024;;
CUP (BSB) 2022-2024;2024;Subskriptionsanteil;GBP;4.753,00;5.546,93;7,00%;5.935,22;2023;;
CUP (BSB) 2022-2024;2024;Publikationsanteil;GBP;464,00;541,51;19,00%;644,40;2023;;
Walter de Gruyter (SUB Göttingen) 2023-2024;2024;Subskriptionsanteil;EUR;;22.360,74;7,00%;23.925,99;2023;;
Walter de Gruyter (SUB Göttingen) 2023-2024;2024;Publikationsanteil;EUR;;2.095,00;19,00%;2.493,05;2023;;
BMJP (BSB) 2023-2024;2024;Subskriptionsanteil;GBP;5.028,00;5.776,32;7,00%;6.180,66;2023;;
BMJP (BSB) 2023-2024;2024;Publikationsanteil;GBP;5.086,00;5.842,95;19,00%;6.953,11;2023;;
ACM (hebis) 2021-2028;2024;Subskriptionsanteil;EUR;;5.857,63;7,00%;6.267,66;2024;;
ACM (hebis) 2021-2028;2024;Publikationsanteil;EUR;;2.509,00;19,00%;2.986,73;2024;;
Sage (BSB) 2024-2025;2024;Subskriptionsanteil;GBP;14.334,00;16.736,72;7,00%;17.908,29;2024;;
Sage (BSB) 2024-2025;2024;Publikationsanteil;GBP;14.334,00;16.736,72;19,00%;19.916,70;2024;;
Nature (MPDL) 2021-2024;2024;Subskriptionsanteil;EUR;;45.840,46;7,00%;49.049,29;2023;;
Nature (MPDL) 2021-2024;2024;Publikationsanteil;EUR;;85.132,27;19,00%;101.307,40;2023;;
Rockefeller University Press (ZB MED) 2024-2026;2024;Subskriptionsanteil;EUR;;9.449,31;7,00%;10.110,76;2023;;
Rockefeller University Press (ZB MED) 2024-2026;2024;Publikationsanteil;EUR;;0,00;0,00%;0,00;2023;;
John Benjamins (UB Augsburg) 2024-2024;2024;Subskriptionsanteil;EUR;;1.770,30;7,00%;1.894,22;;;
John Benjamins (UB Augsburg) 2024-2024;2024;Publikationsanteil;EUR;;54,00;7,00%;57,78;;;
