DOI;Name des Verlags, der Plattform, des Server, …;Publikationsform;CC-Lizenz;Euro netto;Euro brutto;Kostensplitting;Gebührenart;Zuordnung zu Transformationsvertrag;Rechnungsjahr / Lizenzjahr;Publikationsjahr
10.1007/s10554-023-03040-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s44266-023-00169-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s13347-024-00697-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s12662-023-00938-y;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1063/5.0187729;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1016/j.gloenvcha.2024.102803;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1063/5.0189533;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1007/s00277-024-05627-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/bioe.13266;Wiley;journal article;CC BY-NC;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s12028-023-01933-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11547-024-01773-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.econlet.2024.111553;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.cjca.2024.01.019;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s13347-024-00716-0;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1002/pbc.30910;Wiley;journal article;CC BY-NC;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s00330-024-10675-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jaut.2024.103187;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s10884-024-10351-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.ejso.2024.108051;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00270-023-03655-z;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11218-024-09888-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1002/mde.4174;Wiley;journal article;CC BY-NC;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.solener.2024.112413;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.trecan.2024.02.011;Elsevier / CPTL;journal article;CC BY-NC;6.450,00;6.901,50;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00291-024-00752-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1112/blms.13025;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s10746-024-09710-z;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.gie.2024.03.013;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/nme.7478;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s00332-024-10018-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jde.2024.02.056;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1057/s41260-023-00345-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10961-024-10080-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s13324-024-00891-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11222-024-10420-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1109/TAFFC.2024.3357733;IEEE;journal article;CC BY;0;0;;hybrid-oa;;2024;2024
10.1016/j.wneu.2024.03.062;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1111/sum.13030;Wiley;journal article;CC BY-NC-ND;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1111/1748-8583.12550;Wiley;journal article;CC BY-NC-ND;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1109/TNSM.2024.3382393;IEEE;journal article;CC BY;0;0;;hybrid-oa;;2024;2024
