Institution;DOI;Name des Verlags;Publikationsform;CC-Lizenz;Euro netto;Euro brutto;Kostensplitting;Geb�hrenart;agreement;Rechnungsjahr / Lizenzjahr;Publikationsjahr;is_hybrid
Augsburg U;10.1186/s42466-024-00310-x;Springer;journal article;CC BY;1.432,00;1.532,24;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1002/cnr2.1916;Wiley;journal article;CC BY;1.080,00;1.285,20;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1111/iwj.70015;Wiley;journal article;CC BY;2.400,00;2.568,00;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.envc.2024.100860;Elsevier;journal article;CC BY;1.230,00;1.316,10;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1038/s41698-024-00554-5;Springer;journal article;CC BY;1.164,72;1.246,25;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.xjtc.2024.03.004;Elsevier;journal article;CC BY;600,3;642,32;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1186/s12955-024-02245-y;Springer;journal article;CC BY;1.765,07;1.888,62;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.virusres.2024.199363;Elsevier;journal article;CC BY-NC-ND;2.032,00;2.174,24;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1186/s12944-024-02094-0;Springer;journal article;CC BY;1.587,68;1.698,82;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1002/cac2.12602;Wiley;journal article;CC BY-NC-ND;1.920,00;2.054,40;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s10195-024-00760-8;Springer;journal article;CC BY;1.872,74;2.003,83;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s44183-024-00063-9;Springer;journal article;CC BY;1.624,95;1.738,70;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s13550-024-01105-6;Springer;journal article;CC BY;1.962,48;2.099,85;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s41408-024-01060-4;Springer;journal article;CC BY;3.890,00;4.162,30;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12974-024-03110-x;Springer;journal article;CC BY;2.184,87;2.337,81;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s40658-024-00646-y;Springer;journal article;CC BY;1.308,16;1.399,73;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
