Zuordnung zu Transformationsvertrag;Lizenzjahr;Anteil, auf den sich die Rechnungsposition bezieht;Euro brutto;Rechnungsjahr
Springer (DEAL) 2024-2028;2025;Subskriptionsanteil;10.682,88;2024
Springer (DEAL) 2024-2028;2025;Publikationsanteil;78.341,12;2024
Wiley (DEAL) 2024-2028;2025;Subskriptionsanteil;11.461,24;2024
Wiley (DEAL) 2024-2028;2025;Publikationsanteil;60.171,51;2024
Elsevier (DEAL) 2023-2028;2025;Subskriptionsanteil;28.268,87;2025
Elsevier (DEAL) 2023-2028;2025;Publikationsanteil;18.845,91;2025
AIP (TIB) 2024-2026;2025;Subskriptionsanteil;22.017,96;2025
AIP (TIB) 2024-2026;2025;Publikationsanteil;19.794,84;2025
CUP (BSB) 2025-2027;2025;Subskriptionsanteil;6.657,73;2024
CUP (BSB) 2025-2027;2025;Publikationsanteil;189,94;2024
Walter de Gruyter (SUB Göttingen) 2025-2025;2025;Subskriptionsanteil;25.640,00;2024
Walter de Gruyter (SUB Göttingen) 2025-2025;2025;Publikationsanteil;1.426,81;2024
BMJP (BSB) 2025-2025;2025;Subskriptionsanteil;4.331,20;2024
BMJP (BSB) 2025-2025;2025;Publikationsanteil;7.643,48;2025
ACM (hebis) 2021-2028;2025;Subskriptionsanteil;6.322,57;2025
ACM (hebis) 2021-2028;2025;Publikationsanteil;3.784,83;2025
Sage (BSB) 2024-2025;2025;Subskriptionsanteil;18.827,14;2025
Sage (BSB) 2024-2025;2025;Publikationsanteil;20.938,60;2025
Rockefeller University Press (ZB MED) 2024-2026;2025;Subskriptionsanteil;5.686,91;2024
Rockefeller University Press (ZB MED) 2024-2026;2025;Publikationsanteil;5.436,12;2024
John Benjamins (SUB Göttingen) 2025-2025;2025;Subskriptionsanteil;2.458,11;2024
