doi,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,editing cost,other 2
10.1061/jidedh.ireng-10589,684.33,NA,NA,NA,NA,NA,   NA,NA,
10.1061/jidedh.ireng-10589,    NA,NA,NA,NA,NA,NA,17.09,NA,
