"institution","country"
Knowledge Unlatched,DEU
Münster U,DEU
FU Berlin,DEU
Charles University,CZE
FWF - Austrian Science Fund,AUT
Salzburg U,AUT
TU Berlin,DEU
DIPF,DEU
JGU Mainz,DEU
University of Jyväskylä,FIN
JAMK University of Applied Sciences,FIN
Paris 8 Vincennes - Saint-Denis,FRA
HU Berlin,DEU
Siegen U,DEU
Zurich University of the Arts,CHE
Pädagogische Hochschule Zürich,CHE
Aalto University,FIN
Bauhaus-Universität Weimar,DEU
OA-Monofonds Brandenburg,DEU
Catholic University of Eichstätt-Ingolstadt,DEU
Swedish University of Agricultural Sciences,SWE
