"Title","Identifier","Publisher","Language","ISSN","EISSN","Start.Year","Charge"
"Sociology Mind","http://www.scirp.org/journal/sm","Scientific Research Publishing","English","2160-083X","2160-0848","2011","700 US-$ (if nr. of pages > 10","$50 for each additional page)"
"Studies in Sociology of Science","http://www.cscanada.net/index.php/sss","Canadian Research & Development Center of Sciences and Cultures","English","1923-0176","1923-0184","2010","300 US-$"
"Intersticios. Revista sociológica de pensamiento crítico","http://www.intersticios.es/issue/current","Scholarly Exchange for Intersticios","Spanish/ English/ Italian","1887-3898","NA","2007","10-20 €"
