"doi","ut"
"10.1107/S1600536812038792","NA"
"10.1107/S1600536812043863","NA"
"10.1186/1472-6815-12-14","NA"
"10.1186/1472-6890-12-16","NA"
"10.1186/1752-1947-6-177","NA"
"10.1186/1752-1947-6-209","NA"
"10.1186/2001-1326-1-22","NA"
"10.1186/2040-7378-4-9","NA"
"10.1186/2047-1440-1-12","NA"
"10.1186/2047-1440-1-15","NA"
"10.1186/2047-1440-1-17","NA"
"10.12659/MSM.882463","NA"
"10.3389/fnsys.2012.00011","NA"
"10.3389/fnsys.2012.00015","NA"
"10.3389/fnsys.2012.00041","NA"
"10.3389/fpsyt.2012.00070","NA"
"10.4081/cp.2012.e64","NA"
"10.4172/2155-9562.1000124","NA"
"10.4172/2161-0398.S1-001","NA"
"10.1371/journal.pone.0042449","NA"
"10.1002/phy2.132","NA"
"10.1155/2013/841840","NA"
"10.1167/13.1.10 ","NA"
"10.1186/1472-6815-13-7","NA"
"10.1186/1752-1947-7-128","NA"
"10.1186/2047-1440-2-12","NA"
"10.1186/2047-1440-2-16","NA"
"10.12659/AJCR.889672","NA"
"10.3389/fnint.2013.00005","NA"
"10.3390/ph6020269","NA"
"10.4103/2152-7806.114811","NA"
"10.4236/jasmi.2013.34030","NA"
"10.5539/jms.v3n1p9","NA"
"10.5539/jms.v3n2p68","NA"
"10.5772/55683","NA"
"10.1080/21642850.2013.809313","NA"
"10.1155/2012/751625","NA"
"10.1155/2012/837626","NA"
"10.1186/2050-7283-1-12","NA"
"10.1186/2193-1801-1-5","NA"
"10.3389/fnbot.2013.00006","NA"
"10.3389/fpsyg.2012.00599","NA"
"10.4236/jilsa.2012.43024","NA"
"10.5936/csbj.201210004","NA"
"10.1186/1756-0500-6-97","NA"
"10.1186/2191-219X-3-82","NA"
"10.1186/2193-1801-2-415","NA"
"10.12659/AOT.883910","NA"
"10.3389/fonc.2013.00113","NA"
"10.5430/ijfr.v4n4p11","NA"
"10.1186/2050-7283-2-14","NA"
"10.1371/journal.pone.0102786","NA"
"10.3389/fbioe.2014.00028","NA"
"10.3389/fnint.2014.00034","NA"
"10.3389/fpsyt.2014.00026","NA"
"10.1002/nmi2.44","NA"
"10.1055/s-0034-1368091","NA"
"10.1109/ACCESS.2014.2323299","NA"
"10.1186/1752-1947-8-216","NA"
"10.1186/2193-1801-3-489","NA"
"10.1186/2193-1801-3-595","NA"
"10.1186/s13321-014-0045-3","NA"
"10.1371/journal.pone.0104257 ","NA"
"10.1371/journal.pone.0106697","ut:000342921200009"
"10.3389/fonc.2014.00116","NA"
"10.3389/fonc.2014.00169","NA"
"10.5117/TET2012.1.BOON","NA"
"10.1127/0941-2948/2014/0577","NA"
"10.1186/2191-1991-3-29","NA"
"10.1371/journal.pone.0107834","NA"
"10.4236/ijg.2013.44061","NA"
"10.5194/amtd-6-11145-2013","NA"
"10.5194/amtd-7-69-2014","NA"
"10.5194/nhessd-1-1119-2013","NA"
"10.5194/nhessd-2-3683-2014","NA"
"10.1002/brb3.180","NA"
"10.1002/emmm.201200230 ","NA"
"10.1371/journal.pone.0083218","NA"
"10.1155/2012/958319","NA"
"10.1186/1756-0500-5-138","NA"
"10.3389/fpsyg.2012.00597","NA"
"10.5121/ijcnc.2012.4502","NA"
"10.5772/38010","NA"
"10.5772/52788","NA"
"10.1155/2013/760983","NA"
"10.1186/1752-1505-7-11","NA"
"10.1186/1752-1505-7-6","NA"
"10.1186/1752-1505-7-9","NA"
"10.3897/neobiota.16.4351","NA"
"10.4236/ojapo.2013.23004","NA"
"10.4236/ojml.2014.41002","NA"
"10.1186/1465-9921-12-87","ut:000293075300001"
"10.1186/1471-2091-10-16","ut:000267521800001"
"10.1186/1471-2105-10-117","ut:000266605400002"
"10.1186/1471-2105-10-181","ut:000268449300001"
"10.1186/1471-2105-10-204","ut:000268450500001"
"10.1186/1471-2105-10-377","ut:000272335200001"
"10.1186/1471-2105-10-428","NA"
"10.1186/1471-2105-10-447","ut:000273535900001"
"10.1186/1471-2105-11-207","ut:000279728400002"
"10.1186/1471-2105-11-254","ut:000278362500001"
"10.1186/1471-2105-11-267","ut:000279731300001"
"10.1186/1471-2105-11-283","ut:000279733100001"
"10.1186/1471-2105-11-336","ut:000280332300001"
"10.1186/1471-2105-11-351","ut:000281440000001"
"10.1186/1471-2105-11-358","ut:000281440100001"
"10.1186/1471-2105-11-361","ut:000280334600002"
"10.1186/1471-2105-11-363","ut:000281440200002"
"10.1186/1471-2105-11-441","ut:000282631900001"
"10.1186/1471-2105-11-553","ut:000285045600001"
"10.1186/1471-2105-11-9","ut:000274592600001"
"10.1186/1471-2105-11-90","ut:000275550400003"
"10.1186/1471-2105-12-124","ut:000291657700001"
"10.1186/1471-2105-12-141","ut:000290764100001"
"10.1186/1471-2105-12-210","ut:000292241400001"
