doi,colour_charges,cover,diverse,other,page_charges,permission,publication_charges,reprint,submission_fee
10.1364/ome.5.000748,,,,32.73,,,,,
10.1016/j.nima.2016.02.080,1960,,,,,,,,
10.1002/adfm.201603191,1495,,,,,,,,
10.1364/oe.24.025582,,,,,1483.36,,,,
10.1364/oe.25.003052,,,,17.75,,,,,
10.1364/oe.25.010984,,,,17.46,,,,,
10.1364/oe.25.015760,,,,31.44,,,,,
10.1364/oe.25.031640,,,,29.36,,,,,
10.1364/oe.26.001237,,,,18.7,242.91,,,,
10.1364/oe.26.003684,,,,15.64,,,,,
10.1364/oe.26.006427,,,,15.85,,,,,
10.1364/optica.5.000450,,,,20.47,,,,,
10.1021/acs.jpclett.8b00720,,,,42.95,,,,,
10.1364/oe.26.016955,,,,16.76,,,,,
10.1364/oe.26.029744,,,,28.57,1148.43,,,,
10.1364/oe.27.006580,,,,20.18,257.7938182,,,,
10.1364/oe.27.007120,,,,21.32,384.054245,,,,
10.1063/1.5080428,,,,19.48,,,,,
10.1364/oe.27.008639,,,,22.1,,,,,
10.1364/oe.27.009144,,,,17.53,,,,,
10.1364/oe.27.011037,,,,22.84,,,,,
10.3847/2041-8213/ab1267,128,,,42.63,528.04,,,,
10.1364/oe.27.013479,,,,17.81,,,,,
10.1364/oe.27.019254,,,,31.12,,,,,
10.1364/ol.44.002157,,,,17.76,,,,,
10.1364/ome.9.003352,,,,16.48,258.03,,,,
10.1107/s205225251900914x,,,,13.18,,,,,
10.1364/oe.27.026547,,,,25.78,,,,,
10.1364/oe.27.026979,,,,17.97,,,,,
10.1364/oe.27.036580,,,,17.95,,,,,
10.1364/oe.27.036562,,,,20.64,263.67,,,,
10.1364/osac.2.003547,,,,9.95,,,,,
10.1364/josab.380140,,,,10.78,,,,,
10.1364/oe.384968,,,,16.01,,,,,
10.1364/oe.384290,,,,17.88,,,,,
10.1364/ol.390291,,,,18.61,,,,,
10.1364/josab.389548,,,,39.89,830.95,,,,
10.1103/physreve.102.013202,,,,16.76,,,,,
10.1002/anie.201914888,1178.1,,,150,,,,,
10.1103/physrevx.10.031039,,,,51.23,,,,,
10.1140/epjst/e2020-000127-8,,,,8014,,,,,
10.1364/ol.402264,,,,25.1,,,,,
10.1103/physreva.102.043517,,,,15.98,,,,,
10.1002/adfm.201907720,,1660.05,,,,,,,
10.1002/anie.202013899,990,,,150,,,,,
10.1364/optica.410357,,35.36,,,,,,,
10.1109/jlt.2021.3070208,,,,3.25,216.83,,,,
10.1364/ome.414478,,,,19.14,,,,,
10.1364/ome.415253,,,,29.74,709.27,,,,
10.1021/acsanm.0c02819,,,,61.34,,,,,
10.1364/ao.412177,,,,24.48,,,,,
10.1364/oe.413916,,,,24.58,,,,,
10.1364/oe.419977,,,,26.82,122.03,,,,
10.1364/oe.422526,,,,25.26,,,,,
10.1364/ol.421232,,,,25,,,,,
10.1063/4.0000076,,,,12.37,,,,,
10.1364/oe.416223,,,,27.89,,,,,
10.1103/physrevresearch.3.023188,,,,15.36,,,,,
10.1098/rspa.2021.0334,,,,23.81,,,,,
10.1002/piuz.202101616,,,,150,,,,723.52,
10.1002/anie.202108242,990,,,150,,,,,
10.1364/ol.435073,,,,28.61,,,,,
10.1364/oe.426931,,,,34.26,612.09,,,,
10.1103/physreve.104.015211,,,,31.83,,,,,
10.1364/ao.440263,,,,22.82,,,,,
10.1364/ol.430651,,,,25.21,,,,,
10.1063/4.0000127,,,,19.14,,,,,
10.1364/oe.448551,,,,26.75,,,,,
10.1364/oe.440173,,,,27.65,,,,,
10.2138/am-2022-7989,,,,46.45,,,,,
10.1364/ol.450706,,,,26.43,,,,,
10.1364/oe.446563,,,,29.7,,,,,
10.1002/piuz.202270117,,,,150,,,,,
10.1364/oe.445136,,,,29.74,,,,,
10.1364/ol.444190,,,,26.37,,,,,
10.1364/prj.441674,,,,27.14,,,,,
10.1364/josab.453901,,,,31.84,,,,,
10.1364/oe.447205,,,,26.58,,,,,
10.1107/s2052252522004250,,,,30.61,,,,,
10.1364/ao.456316,,,,28.88,,,,,
10.3847/1538-4357/ac46c8,,,,22.34,,,,,
10.1126/sciadv.abn6848,,,,60.98,,,,,
10.1364/ome.460445,,,,30.72,546.68,,,,
