"","publisher","journal","ISSN.1","ISSN.2","doi"
"1","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013002"
"2","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013006"
"3","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013027"
"4","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013033"
"5","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/015019"
"6","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/015025"
"7","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023007"
"8","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023019"
"9","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023030"
"10","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/035008"
"11","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033019"
"12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033028"
"13","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033034"
"14","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043004"
"15","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043013"
"16","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045005"
"17","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043020"
"18","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043039"
"19","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045019"
"20","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045027"
"21","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053013"
"22","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053042"
"23","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053046"
"24","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053049"
"25","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053050"
"26","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/065001"
"27","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/065004"
"28","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063019"
"29","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063021"
"30","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063034"
"31","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063035"
"32","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063038"
"33","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073031"
"34","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073034"
"35","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073039"
"36","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083003"
"37","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083006"
"38","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083009"
"39","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085003"
"40","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085014"
"41","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083055"
"42","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085032"
"43","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/093003"
"44","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/093032"
"45","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/095017"
