*****CSV file analysis*****
CSV dialect sniffing:
delimiter => ,
doublequote => True
escapechar => None
quotechar => "
quoting => QUOTE_MINIMAL
skip initial space => False

CSV file seems to have a header.

Educated guessing of file character encoding: utf-8 with a confidence of 99%
***************************
--- Analysing line 2 ---
   - Created period field ('2014') by parsing value '2014-04-28' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2112.72') by dividing the value in 'APC paid (£) including VAT if charged' (1738.35) by 0.8228 (EUR -> GBP conversion rate on 2014-04-28) [fixer.io]
--- Analysing line 3 ---
   - Created period field ('2014') by parsing value '2014-12-10' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 4 ---
   - Created period field ('2014') by parsing value '2014-11-06' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 5 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 6 ---
   - Created period field ('2014') by parsing value '2014' in column 'TCO year'
   - Created euro field ('1851') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 7 ---
   - Empty DOI, line deleted
--- Analysing line 8 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1173.03') by dividing the value in 'APC paid (actual currency) including VAT if charged' (945.6) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 9 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('3793.75') by dividing the value in 'APC paid (actual currency) including VAT if charged' (5040) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 10 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1756.56') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1416) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 11 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1442.47') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1162.8) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
