"doi","Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","pmid","pmcid"
10.1186/1465-9921-12-87,"MPG",2011,"1548.29","Springer Science + Business Media","Respiratory Research","1465-9921","NA",21699729,"PMC3141422"
10.1186/1471-2091-10-16,"MPG",2009,"999.94","Springer Science + Business Media","BMC Biochemistry","1471-2091","NA",19515240,"PMC2702275"
10.1186/1471-2105-10-117,"MPG",2008,"1036.8","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19383128,"PMC2683816"
10.1186/1471-2105-10-181,"MPG",2008,"1078.27","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19527491,"PMC2708159"
10.1186/1471-2105-10-204,"MPG",2008,"1036.8","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19566918,"PMC2753852"
10.1186/1471-2105-10-377,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19919720,"PMC2785798"
10.1186/1471-2105-10-428,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20015393,"PMC3087348"
10.1186/1471-2105-10-447,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20034392,"PMC3087352"
10.1186/1471-2105-11-207,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20423484,"PMC2884167"
10.1186/1471-2105-11-254,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20478033,"PMC2881086"
10.1186/1471-2105-11-267,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20487530,"PMC3098066"
10.1186/1471-2105-11-283,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20507547,"PMC3583236"
10.1186/1471-2105-11-336,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20565932,"PMC2910024"
10.1186/1471-2105-11-351,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20584295,"PMC2914729"
10.1186/1471-2105-11-358,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20591175,"PMC2912304"
10.1186/1471-2105-11-361,"MPG",2010,"1193.47","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20594322,"PMC2908103"
10.1186/1471-2105-11-363,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20594332,"PMC2912885"
10.1186/1471-2105-11-441,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20807438,"PMC2942855"
10.1186/1471-2105-11-553,"MPG",2010,"1161.22","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21070630,"PMC2998528"
