"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"MPG",2008,1092.15,"10.1371/journal.pone.0003073",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"18728787","PMC2518117",NA,NA,NA
"MPG",2008,1834.82,"10.1371/journal.pgen.1000163",FALSE,"Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"1553-7404",NA,TRUE,"18725932","PMC2515195",NA,NA,NA
"MPG",2008,1834.82,"10.1371/journal.ppat.1000208",FALSE,"Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"1553-7374",NA,TRUE,"19008951","PMC2576454",NA,NA,NA
"MPG",2008,1135.84,"10.1371/journal.pone.0003553",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"18958283","PMC2570333",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005785",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19492052","PMC2685988",NA,NA,NA
"MPG",2009,2357.27,"10.1371/journal.pbio.1000094",FALSE,"Public Library of Science (PLoS)","PLoS Biology","1545-7885",NA,"1545-7885",NA,TRUE,"19402751","PMC2671562",NA,NA,TRUE
"MPG",2009,2357.27,"10.1371/journal.pbio.1000087",FALSE,"Public Library of Science (PLoS)","PLoS Biology","1545-7885",NA,"1545-7885",NA,TRUE,"19385717","PMC2671556",NA,NA,TRUE
"MPG",2009,1075.25,"10.1371/journal.pone.0005527",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19436733","PMC2677457",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005537",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19462002","PMC2680057",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005599",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19478999","PMC2685028",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005116",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19352509","PMC2663035",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005307",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19390578","PMC2668796",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005115",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19340306","PMC2660435",NA,NA,NA
"MPG",2009,1075.25,"10.1371/journal.pone.0005220",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19370148","PMC2666157",NA,NA,NA
"MPG",2009,2240.73,"10.1371/journal.pbio.0060230",FALSE,"Public Library of Science (PLoS)","PLoS Biology","1545-7885",NA,"1545-7885",NA,TRUE,"18816164","PMC2553836",NA,NA,TRUE
"MPG",2009,1882.21,"10.1371/journal.pgen.1000206",FALSE,"Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"1553-7404",NA,TRUE,"18833299","PMC2542418",NA,NA,NA
"MPG",2009,1971.84,"10.1371/journal.pcbi.1000221",FALSE,"Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"1553-7358",NA,TRUE,"19008937","PMC2570617",NA,NA,NA
"MPG",2009,1120.36,"10.1371/journal.pone.0003479",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"18941516","PMC2565798",NA,NA,NA
"MPG",2009,1165.18,"10.1371/journal.pone.0003470",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"18941628","PMC2565127",NA,NA,NA
"MPG",2009,1882.21,"10.1371/journal.pgen.1000289",FALSE,"Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"1553-7404",NA,TRUE,"19057668","PMC2585060",NA,NA,NA
"MPG",2009,1165.18,"10.1371/journal.pone.0003855",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19052644","PMC2586089",NA,NA,NA
"MPG",2009,1165.18,"10.1371/journal.pone.0004132",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19125185","PMC2607016",NA,NA,NA
"MPG",2009,1165.18,"10.1371/journal.pone.0004325",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"19177162","PMC2627900",NA,NA,NA
"MPG",2009,1971.84,"10.1371/journal.pcbi.1000251",FALSE,"Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"1553-7358",NA,TRUE,"19112481","PMC2588660",NA,NA,NA
"MPG",2009,1165.18,"10.1371/journal.pone.0003507",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"18949047","PMC2568803",NA,NA,NA
