"","Period.","Teilbrutto.EURO.","publisher","journal","ISSN.1","ISSN.2","DOI"
"1",2013,"1447,83","Wiley-Blackwell","Brain and Behavior","2162-3279",NA,"10.1002/brb3.180"
"2",2013,"1071,39","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.500"
"3",2013,"1129,31","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.670"
"4",2013,"1129,31","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.707"
"5",2013,"1129,31","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.889"
"6",2013,"1411,63","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.902"
"7",2013,"1129,31","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.907"
"8",2013,"1337,23","EMBO","EMBO Mol Med","1757-4676",NA,"10.1002/emmm.201200230 "
"9",2013,"1574,92","Wiley-Blackwell","MicrobiologyOpen","2045-8827",NA,"10.1002/mbo3.128"
"10",2013,"1737,39","Wiley-Blackwell","ChemistryOpen","2191-1363",NA,"10.1002/open.201200045"
"11",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013002"
"12",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013006"
"13",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013027"
"14",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/013033"
"15",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/015019"
"16",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/1/015025"
"17",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/10/105007"
"18",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/10/105019"
