,Institution,Period,EURO,publisher,journal_full_title,issn,issn_print,issn_electronic,doi,indexed_in_CrossRef,pmid,pmcid,base.url,record.id,ut,DOAJ,license_ref,is_hybrid
1,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/0031-8949/11/3/033008,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
2,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013003,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
3,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
4,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013008,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
5,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
6,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
7,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/013020,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
8,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/015009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
9,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/015012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
10,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/1/015013,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
11,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/10/103002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
12,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/10/103009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
13,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/10/103012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
14,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/10/103014,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
15,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/10/103023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
16,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/11/113001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
17,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/11/113002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
18,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/11/113005,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
19,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/123007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
20,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/123025,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
21,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/123030,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
22,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/125006,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
23,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/125009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
24,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/125010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
25,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/12/125016,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
26,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/023002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
