institution;period;doi;eur;is_hybrid
MPG;2016;10.5194/angeo-34-153-2016;207,36;FALSE
MPG;2016;10.5194/bg-13-1299-2016;760,32;FALSE
MPG;2016;10.5194/gmd-9-2499-2016;2039,04;FALSE
MPG;2016;10.5194/bg-13-3163-2016;1313,28;FALSE
MPG;2016;10.5194/hess-20-3441-2016;864;FALSE
MPG;2016;10.5194/amt-9-1637-2016;1353,6;FALSE
MPG;2016;10.5194/tcd-9-5681-2015;1313,28;FALSE
MPG;2016;10.5194/acp-16-6931-2016;1468,8;FALSE
MPG;2016;10.5194/acp-16-6563-2016;1209,6;FALSE
MPG;2016;10.5194/hess-20-2063-2016;1814,4;FALSE
MPG;2016;10.5194/amt-9-2291-2016;1244,16;FALSE
MPG;2016;10.5194/amt-9-2147-2016;2678,4;FALSE
MPG;2016;10.5194/acp-16-5063-2016;950,4;FALSE
MPG;2016;10.5194/acp-16-4867-2016;1762,56;FALSE
MPG;2016;10.5194/amt-9-4803-2016;2177,28;FALSE
MPG;2016;10.5194/gmd-9-3427-2016;1728;FALSE
MPG;2016;10.5194/bg-13-5315-2016;1866,24;FALSE
MPG;2016;10.5194/acp-16-11337-2016;1244,16;FALSE
MPG;2016;10.5194/cp-12-1829-2016;1555,2;FALSE
MPG;2016;10.5194/acp-16-10965-2016;2073,6;FALSE
MPG;2016;10.5194/gmd-9-2999-2016;2419,2;FALSE
MPG;2016;10.5194/acp-16-10299-2016;1347,84;FALSE
MPG;2016;10.5194/amt-9-3717-2016;2177,28;FALSE
MPG;2016;10.5194/hess-20-3167-2016;1658,88;FALSE
MPG;2016;10.5194/acp-16-9591-2016;2073,6;FALSE
MPG;2016;10.5194/acp-16-9457-2016;2678,4;FALSE
MPG;2016;10.5194/bg-13-4219-2016;1762,56;FALSE
MPG;2016;10.5194/esd-7-611-2016;1036,8;FALSE
MPG;2016;10.5194/cp-12-1555-2016;777,6;FALSE
MPG;2016;10.5194/acp-16-8939-2016;2488,32;FALSE
MPG;2016;10.5194/acp-16-8593-2016;1555,2;FALSE
MPG;2016;10.5194/amt-9-2753-2016;2332,8;FALSE
MPG;2016;10.5194/acp-16-15277-2016;2384,64;FALSE
MPG;2016;10.5194/acp-16-15165-2016;2073,6;FALSE
MPG;2016;10.5194/acp-16-14775-2016;2073,6;FALSE
MPG;2016;10.5194/acp-16-14475-2016;1969,92;FALSE
MPG;2016;10.5194/acp-16-14025-2016;1296;FALSE
MPG;2016;10.5194/gmd-9-4049-2016;2280,96;FALSE
MPG;2016;10.5194/acp-16-13853-2016;3317,76;FALSE
MPG;2016;10.5194/acp-16-13231-2016;1969,92;FALSE
MPG;2016;10.5194/acp-16-13105-2016;1555,2;FALSE
MPG;2016;10.5194/acp-16-13015-2016;1728;FALSE
MPG;2016;10.5194/amt-9-5103-2016;1658,88;FALSE
MPG;2016;10.5194/bg-13-5661-2016;1296;FALSE
MPG;2016;10.5194/acp-16-12477-2016;1762,56;FALSE
