"Institution","Period","Teilbrutto.EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base.url","record.id","ut","DOAJ","license_ref"
MPG,2014,"1474.56","Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105","NA","10.1186/1471-2105-15-263","TRUE",25096057,"PMC4137093","NA","NA","NA","TRUE","NA"
MPG,2014,"1428.48","Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105","NA","10.1186/1471-2105-15-264","TRUE",25099007,"PMC4133078","NA","NA","NA","TRUE","NA"
MPG,2014,"1396.22","Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105","NA","10.1186/1471-2105-15-39","TRUE",24495268,"PMC4016238","NA","NA","NA","TRUE","NA"
MPG,2014,"1492.99","Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105","NA","10.1186/1471-2105-15-99","TRUE",24712884,"PMC4020321","NA","NA","NA","TRUE","NA"
MPG,2014,"1382.4","Springer Science + Business Media","BMC Evolutionary Biology","1471-2148","1471-2148","NA","10.1186/1471-2148-14-18","TRUE",24479530,"PMC3925363","NA","NA","NA","TRUE","NA"
MPG,2014,"1382.4","Springer Science + Business Media","BMC Evolutionary Biology","1471-2148","1471-2148","NA","10.1186/1471-2148-14-98","TRUE",24884575,"PMC4068157","NA","NA","NA","TRUE","NA"
MPG,2014,"1396.22","Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164","NA","10.1186/1471-2164-15-115","TRUE",24507667,"PMC3923563","NA","NA","NA","TRUE","NA"
MPG,2014,"1400.83","Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164","NA","10.1186/1471-2164-15-139","TRUE",24548329,"PMC3932016","NA","NA","NA","TRUE","NA"
MPG,2014,"1469.95","Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164","NA","10.1186/1471-2164-15-400","TRUE",24886435,"PMC4059875","NA","NA","NA","TRUE","NA"
MPG,2014,"1400.83","Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164","NA","10.1186/1471-2164-15-411","TRUE",24885275,"PMC4050208","NA","NA","NA","TRUE","NA"
