institution,period,US Dollars,DOI,is_hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2013-09-18,"$1,350.00",10.1371/journal.pone.0077667,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2013-10-11,$287.00,10.3390/publications1030099,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-01-09,"$1,600.00",10.1088/1748-9326/8/4/044020,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-01-13,"$2,289.25",10.1186/gb-2014-15-1-r14,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-02-11,$700.00,10.1371/journal.pone.0090666,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-08,$581.17,10.3390/fi6020359,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-13,"$1,350.00",10.1371/journal.pone.0095694 ,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-15,"$1,350.00",10.1371/journal.pone.0099262,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-15,"$1,350.00",10.1371/journal.pone.0099036,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-06-05,"$1,980.00", 10.2147/DDDT.S59722,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-07-08,$571.13,10.3390/sym6030578,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-07-14,"$1,500.00",10.1161/JAHA.114.000983 ,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-07-17,"$2,250.00",10.1371/journal.pgen.1004581,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-08-29,"$1,940.70",10.1186/1472-6831-14-108,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
