institution,period,euro,DOI,is_hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2013-09-18,1011.08,10.1371/journal.pone.0077667,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2013-10-11,211.56,10.3390/publications1030099,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-01-09,1175.43,10.1088/1748-9326/8/4/044020,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-01-13,1676.61,10.1186/gb-2014-15-1-r14,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-02-11,511.85,10.1371/journal.pone.0090666,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-08,416.52,10.3390/fi6020359,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-13,985.19,10.1371/journal.pone.0095694 ,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-15,988.36,10.1371/journal.pone.0099262,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-05-15,988.36,10.1371/journal.pone.0099036,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-06-05,1459.42, 10.2147/DDDT.S59722,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University - Purdue University Indianapolis (IUPUI),2014-07-08,420.29,10.3390/sym6030578,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
