institution;apc;period;doi;is_hybrid;currency
Consejo Superior de Investigaciones Cientificas (CSIC);1395;01/01/2020;10.5194/se-11-2499-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);3069;01/01/2020;doi.org/10.5194/se-11-2377-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1386;01/01/2020;10.5194/gmd-13-5549-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);660;01/01/2020;10.5194/essd-12-1725-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1395;01/01/2020;10.5194/hess-24-4675-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);2139;01/01/2020;10.5194/acp-20-10865-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1674;01/01/2020;10.5194/hess-24-2855-2020;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1488;01/01/2020;10.5194/bg-17-2349-2020;FALSE;EUR
