;institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
2016-60;Carl von Ossietzky Universit„t Oldenburg;2017;1552,95;10.1038/s41598-017-08531-8;FALSE;;;;
2016-65;Carl von Ossietzky Universit„t Oldenburg;2017;1649,87;10.3389/fpsyg.2017.01146;FALSE;;;;
2017-30;Carl von Ossietzky Universit„t Oldenburg;2017;728;10.1186/s13256-017-1292-5;FALSE;;;;
2017-43;Carl von Ossietzky Universit„t Oldenburg;2017;924;10.1186/s13634-017-0497-5;FALSE;;;;
2017-56;Carl von Ossietzky Universit„t Oldenburg;2017;411,36;10.3389/fpsyg.2017.01747;FALSE;;;;
2017-58;Carl von Ossietzky Universit„t Oldenburg;2017;738,17;10.3389/fcomm.2017.00016;FALSE;;;;
2017-63;Carl von Ossietzky Universit„t Oldenburg;2017;1206,66;10.1088/1367-2630/aa83a4;FALSE;;;;
2017-68;Carl von Ossietzky Universit„t Oldenburg;2017;960,41;;FALSE;Sciaccess Publishers;Journal of Neurology and Neuromedicine;2572-942X;www.jneurology.com/articles/new-psychotherapeutic-approaches-in-adult-adhd--acknowledging-biographical-factors.pdf
2017-73;Carl von Ossietzky Universit„t Oldenburg;2017;1311,24;10.3390/su9091668;FALSE;;;;
2017-74;Carl von Ossietzky Universit„t Oldenburg;2017;327,81;10.3390/jmse5040046;FALSE;;;;
2017-75;Carl von Ossietzky Universit„t Oldenburg;2017;2002,19;10.1155/2017/2518396;FALSE;;;;
2017-84;Carl von Ossietzky Universit„t Oldenburg;2017;1882,58;10.2147/IJWH.S143368;FALSE;;;;
2017-86;Carl von Ossietzky Universit„t Oldenburg;2017;1681,32;10.1016/j.nicl.2017.09.001;FALSE;;;;
2017-88;Carl von Ossietzky Universit„t Oldenburg;2017;1645,45;10.3389/fmicb.2017.01985;FALSE;;;;
2017-89;Carl von Ossietzky Universit„t Oldenburg;2017;1395,74;10.3390/en10091420;FALSE;;;;
2017-90;Carl von Ossietzky Universit„t Oldenburg;2017;1266,16;10.1093/aobpla/plx052;FALSE;;;;
2017-93;Carl von Ossietzky Universit„t Oldenburg;2017;1768,98;10.1525/elementa.242;FALSE;;;;
2017-96;Carl von Ossietzky Universit„t Oldenburg;2017;1396,35;10.1038/s41598-017-13795-1;FALSE;;;;
2017-97;Carl von Ossietzky Universit„t Oldenburg;2017;714;10.4081/mi.2017.7192;FALSE;;;;
2017-98;Carl von Ossietzky Universit„t Oldenburg;2017;714;10.4081/mi.2017.7193;FALSE;;;;
2017-99;Carl von Ossietzky Universit„t Oldenburg;2017;1378,97;10.3390/e19100567;FALSE;;;;
2017-100;Carl von Ossietzky Universit„t Oldenburg;2017;500;10.1107/S2056989017015560;FALSE;;;;
