institution;period;euro;doi;backlist_oa
Thurgau University of Teacher Education;2024;1.300,00;10.57668/phtg-000517;FALSE
Thurgau University of Teacher Education;2024;2.410,31;10.3262/978-3-7799-7627-1;FALSE
