,"Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","doi","indexed_in_CrossRef"
1,"KIT",2012,1057.87,"AIP Publishing","AIP Advances","2158-3226","NA","10.1063/1.4756997","TRUE"
2,"KIT",2012,1785.00,"Springer Science + Business Media","AMB Express","2191-0855","NA","10.1186/2191-0855-2-33","TRUE"
3,"KIT",2012,1749.30,"Springer Science + Business Media","BMC Biophysics","2046-1682","NA","10.1186/2046-1682-5-14","TRUE"
4,"KIT",2012,1535.10,"Springer Science + Business Media","Microb Cell Fact","1475-2859","NA","10.1186/1475-2859-11-64","TRUE"
5,"KIT",2012,1850.45,"Springer Science + Business Media","Neural Dev","1749-8104","NA","10.1186/1749-8104-7-12","TRUE"
6,"KIT",2012,1173.34,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-4867-2012","TRUE"
7,"KIT",2012,1967.07,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-8921-2012","TRUE"
8,"KIT",2012,542.64,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-17703-2012","TRUE"
9,"KIT",2012,1428.00,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-15453-2012","TRUE"
10,"KIT",2012,1142.40,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-18325-2012","TRUE"
11,"KIT",2012,1760.01,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-21815-2012","TRUE"
12,"KIT",2012,1513.68,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-15009-2012","TRUE"
13,"KIT",2012,1725.50,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-17607-2012","TRUE"
