,"Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","doi","indexed_in_CrossRef","url"
1,"KIT",2013,1785.00,"Springer Science + Business Media","AMB Express","2191-0855","NA","10.1186/2191-0855-3-51","TRUE",""
2,"KIT",2013,1489.88,"Springer Science + Business Media","BMC Biotechnology","1472-6750","NA","10.1186/1472-6750-13-44","TRUE",""
3,"KIT",2013,1494.64,"Springer Science + Business Media","BMC Cancer","1471-2407","NA","10.1186/1471-2407-13-96","TRUE",""
4,"KIT",2013,1470.84,"Springer Science + Business Media","BMC Evol Biol","1471-2148","NA","10.1186/1471-2148-13-78","TRUE",""
5,"KIT",2013,1442.28,"Springer Science + Business Media","BMC Genomics","1471-2164","NA","10.1186/1471-2164-14-87","TRUE",""
6,"KIT",2013,1462.32,"Springer Science + Business Media","BMC Microbiol","1471-2180","NA","10.1186/1471-2180-13-77","TRUE",""
7,"KIT",2013,1558.90,"Springer Science + Business Media","Microb Cell Fact","1475-2859","NA","10.1186/1475-2859-12-90","TRUE",""
8,"KIT",2013,1527.96,"Springer Science + Business Media","Neural Dev","1749-8104","NA","10.1186/1749-8104-8-3","TRUE",""
9,"KIT",2013,714.00,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-32327-2013","TRUE",""
10,"KIT",2013,628.32,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-6707-2013","TRUE",""
11,"KIT",2013,1967.07,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-4433-2013","TRUE",""
12,"KIT",2013,862.75,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-13439-2013","TRUE",""
13,"KIT",2013,1370.88,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-12389-2013","TRUE",""
14,"KIT",2013,828.24,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-23757-2013","TRUE",""
15,"KIT",2013,1794.52,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-17849-2013","TRUE",""
16,"KIT",2013,1313.76,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-13-32483-2013","TRUE",""
