period;doi;publisher;journal_full_title;euro;is_hybrid;institution
2021;10.1186/s12955-020-01608-5;BioMed Central;Health and Quality of Life Outcomes;1.846,72;FALSE;TU Dresden
2021;10.1186/s12995-020-00279-8;BioMed Central;Journal of Occupational Medicine and Toxicology;1.893,12;FALSE;TU Dresden
2021;10.7895/ijadr.287;Kettil Bruun Society for Social and Epidemiological Research on Alcohol (KBS);The International Journal of Alcohol and Drug Research;968,34;FALSE;TU Dresden
2021;10.1186/s13034-021-00392-4;Springer Nature;Child and Adolescent Psychiatry and Mental Health;1.989,68;FALSE;TU Dresden
2021;10.1186/s40348-020-00106-4;Springer Open;Molecular and Cellular pediatrics;1.624,00;FALSE;TU Dresden
2021;10.1038/s41597-020-00597-w;Springer Nature;Scientific Data;1.730,14;FALSE;TU Dresden
2021;10.1186/s42833-020-00018-7;BioMed Central;BMC Materials;1.113,60;FALSE;TU Dresden
2021;10.5334/ijic.5529;Ubiquity Press;International Journal of Integrated Care;863,32;FALSE;TU Dresden
2021;10.3389/fcimb.2021.548613;Frontiers;Frontiers in Microbiology;1.644,52;FALSE;TU Dresden
2021;10.3389/fmed.2020.585756;Frontiers;Frontiers in Physiology;1.999,20;FALSE;TU Dresden
2021;10.1186/s12888-020-02903-7;Springer Nature;BMC Psychiatry;1.846,72;FALSE;TU Dresden
2021;10.1371/journal.pone.0257003;Public Library of Science;PLOS One;1.722,36;FALSE;TU Dresden
2021;10.1038/s41398-021-01209-w;Springer Nature;Translational Psychiatry;3.451,00;FALSE;TU Dresden
2021;10.1186/s12199-020-00872-7;BioMed Central;Journal of Environmental Health and Preventive Medicine;1.619,36;FALSE;TU Dresden
2021;10.1080/19942060.2020.1774422;Taylor & Francis;Engineering Applications of Computational Fluid Mechanics;1.576,75;FALSE;TU Dresden
2021;10.1080/19942060.2020.1773932;Taylor & Francis;Engineering Applications of Computational Fluid Mechanics;788,38;FALSE;TU Dresden
2021;10.1080/19942060.2020.1778091;Taylor & Francis;Engineering Applications of Computational Fluid Mechanics;1.576,75;FALSE;TU Dresden
2021;10.1186/s12883-020-01952-5;BioMed Central;BMC Neurology;1.893,12;FALSE;TU Dresden
2021;10.1371/journal.pone.0243774;Public Library of Science;PLOS One;1.711,10;FALSE;TU Dresden
2021;10.5194/nhess-21-1195-2021;Copernicus Publications;Natural Hazards and Earth System Sciences;1.191,19;FALSE;TU Dresden
2021;10.3389/fpsyt.2021.572755;Frontiers;Frontiers in Psychiatry;1.999,20;FALSE;TU Dresden
2021;10.1016/j.orp.2021.100187;Elsevier;Operations Research Perspectives;1.820,70;FALSE;TU Dresden
2021;10.3389/fpsyt.2021.601236;Frontiers;Frontiers in Psychiatry;1.999,20;FALSE;TU Dresden
2021;10.7895/ijadr.283;The Kettil Bruun Society for Social and Epidemiological Research on Alcohol;International Journal of Alcohol and Drug Research;1.028,48;FALSE;TU Dresden
2021;10.1038/s41598-020-74364-7;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1017/S2045796021000172;Cambridge University Press;Epidemiology and Psychiatric Sciences;1.859,64;FALSE;TU Dresden
2021;10.2166/nh.2021.150;IWA Publishing;Hydrology Research;1.803,33;FALSE;TU Dresden
2021;10.14512/rur.55;oekom Verlag;Raumforschung und Raumordnung (Spatial Research and Planning);297,50;FALSE;TU Dresden
2021;10.5194/jsss-10-179-2021;Copernicus Publications;Journal of Sensors and Sensor Systems;464,10;FALSE;TU Dresden
2021;10.1038/s41398-021-01405-8;Springer Nature;Translational Psychiatry;3.451,00;FALSE;TU Dresden
2021;10.1186/s13006-020-00329-1;Springer Nature;International Breastfeeding Journal;1.893,12;FALSE;TU Dresden
2021;10.1002/open.202000231;Wiley;ChemistryOpen;1.670,40;FALSE;TU Dresden
2021;10.1038/s41598-020-69956-2;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1038/s41598-020-71245-x;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1038/s41598-020-75898-6;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1038/s41598-020-71779-0;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1186/s42833-020-00017-8;Springer Nature;BMC Materials;1.113,60;FALSE;TU Dresden
2021;10.1038/s41598-020-70867-5;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1038/s41535-020-00273-7;Springer Nature;npj Quantum Materials;1.862,38;FALSE;TU Dresden
2021;10.1186/s40814-020-00685-z;Springer Nature;Pilot and Feasibility Studies;1.661,12;FALSE;TU Dresden
2021;10.1038/s41598-020-74029-5;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1002/lio2.485;Wiley;Laryngoscope Investigative Otolaryngology;1.452,32;FALSE;TU Dresden
2021;10.1002/brb3.2035;Wiley;Brain and Behavior;1.953,98;FALSE;TU Dresden
2021;10.1002/aisy.202000221;Wiley;Advanced Intelligent Systems;2.215,78;FALSE;TU Dresden
2021;10.1002/hbm.25427;Wiley;Human Brain Mapping;2.856,00;FALSE;TU Dresden
2021;10.1002/advs.202003743;Wiley;Advanced Science;3.962,70;FALSE;TU Dresden
2021;10.1002/eng2.12373;Wiley;Engineering Reports;1.332,80;FALSE;TU Dresden
2021;10.1002/eng2.12348;Wiley;Engineering Reports;1.299,20;FALSE;TU Dresden
2021; 10.1186/s12874-020-01156-y;Springer Nature;BMC Medical Research Methodology;1.893,12;FALSE;TU Dresden
2021;10.1016/j.softx.2021.100656;Elsevier;SoftwareX;523,60;FALSE;TU Dresden
2021;10.21203/rs.3.rs-38919/v1;Springer Nature;BMC Materials;1.113,60;FALSE;TU Dresden
2021;10.1038/s41598-020-79119-y;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1186/s12544-020-00462-2;Springer Nature;European Transport Research Review;1.142,40;FALSE;TU Dresden
2021;10.1186/s40345-020-00216-y;Springer Nature;International Journal of Bipolar Disorders;1.704,08;FALSE;TU Dresden
2021;10.1039/D0RA10403E;Royal Society of Chemistry;RSC Advances;1.031,91;FALSE;TU Dresden
2021;10.3389/fpsyg.2021.642345;Frontiers;Frontiers in Psychology;1.644,52;FALSE;TU Dresden
2021;10.1186/s12891-020-03878-y;Springer Nature;BMC Musculoskeletal Disorders;1.893,12;FALSE;TU Dresden
2021;10.1371/journal.pone.0256737;Public Library of Science;PLOS ONE;1.722,36;FALSE;TU Dresden
2021;10.1038/s41598-020-79936-1;Springer Nature;Scientific Reports;1.730,14;FALSE;TU Dresden
2021;10.1098/rsos.210641;Royal Society of London;Royal Society Open Science;1.251,02;FALSE;TU Dresden
2021;10.1038/s41467-020-20856-z;Springer Nature;Nature Communications;3.451,00;FALSE;TU Dresden
2021;10.3389/fneur.2020.628542;Frontiers;Frontiers in Neurol;1.644,52;FALSE;TU Dresden
2021;10.5194/soil-7-363-2021;Copernicus Publications;SOIL;1.191,19;FALSE;TU Dresden
2021;10.3389/fnhum.2021.649724;Frontiers;Frontiers in Human Neuroscience;1.999,20;FALSE;TU Dresden
2021;10.12688/f1000research.29969.1;F1000 Research Ltd.;F1000Research;1.325,83;FALSE;TU Dresden
2021;10.1016/j.dib.2021.106833;Elsevier;Data in Brief;725,90;FALSE;TU Dresden
2021;10.1186/s13034-021-00363-9;Springer Nature;Child and Adolescent Psychiatry and Mental Health;1.989,68;FALSE;TU Dresden
2021;10.1038/s41598-021-85187-5;Springer Nature;Scientific Reports;1.837,00;FALSE;TU Dresden
2021;10.1038/s41598-021-88245-0;Springer Nature;Scientific Reports;1.837,00;FALSE;TU Dresden
