"DOI","Institution","period","is_hybrid"
"10.1007/s11295-016-1065-0","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s00259-016-3544-9","Karolinska Institute",2016,TRUE
"10.1007/s00526-016-1088-2","Uppsala University",2016,TRUE
"10.1007/s00167-016-4387-4","University of Gothenburg",2016,TRUE
"10.1007/s00383-016-4013-z","Lund University",2016,TRUE
"10.1007/s10928-016-9499-4","Uppsala University",2016,TRUE
"10.1007/s12063-016-0121-0","University of Gävle",2016,TRUE
"10.1007/s00421-016-3499-3","Royal Institute of Technology",2016,TRUE
"10.1007/s15010-016-0963-2","Karolinska Institute",2016,TRUE
"10.1007/s00383-016-4001-3","Lund University",2016,TRUE
"10.1007/s10086-016-1595-y","Linnaeus University",2016,TRUE
"10.1007/s00153-016-0514-7","Stockholm University",2016,TRUE
"10.1007/s11118-016-9603-9","Royal Institute of Technology",2016,TRUE
"10.1007/s12132-016-9294-8","Stockholm University",2016,TRUE
"10.1007/s00445-016-1080-x","Uppsala University",2016,TRUE
"10.1007/s13361-016-1539-1","University of Gothenburg",2016,TRUE
"10.1007/s10875-016-0347-5","Karolinska Institute",2016,TRUE
"10.1007/s10682-016-9871-2","Lund University",2016,TRUE
"10.1007/s10067-016-3470-z","Linköping University",2016,TRUE
"10.1007/s10714-016-2155-x","Stockholm University",2016,TRUE
"10.1007/s10856-016-5814-2","University of Gothenburg",2016,TRUE
"10.1007/s13280-016-0848-8","University of Gothenburg",2016,TRUE
"10.1007/s12021-016-9320-y","Umea University",2016,TRUE
"10.1007/s00586-016-4854-0","Karolinska Institute",2016,TRUE
"10.1007/s11107-016-0676-6","Royal Institute of Technology",2016,TRUE
"10.1007/s00500-016-2425-2","Lulea University of Technology",2016,TRUE
"10.1007/s10433-016-0404-1","Umea University",2016,TRUE
"10.1007/s10806-016-9646-3","Linköping University",2016,TRUE
"10.1007/s11663-016-0819-2","Royal Institute of Technology",2016,TRUE
"10.1007/s00787-016-0919-1","Linköping University",2016,TRUE
"10.1007/s10910-016-0694-8","Karolinska Institute",2016,TRUE
"10.1007/s00125-016-4141-y","Lund University",2016,TRUE
"10.1007/s11229-016-1244-4","Stockholm University",2016,TRUE
"10.1007/s10543-016-0635-8","Chalmers University of Technology",2016,TRUE
"10.1007/s11224-016-0868-9","Lund University",2016,TRUE
"10.1007/s11191-016-9859-x","Stockholm University",2016,TRUE
"10.1007/s10767-016-9241-7","University of Gothenburg",2016,TRUE
"10.1007/s00359-016-1130-z","Lund University",2016,TRUE
"10.1007/s11842-016-9359-5","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s00586-016-4876-7","Karolinska Institute",2016,TRUE
"10.1007/s12028-016-0348-5","Lund University",2016,TRUE
"10.1007/s00198-016-3818-x","Karolinska Institute",2016,TRUE
"10.1007/s13280-016-0847-9","Stockholm University",2016,TRUE
"10.1007/s00420-016-1180-0","University of Gothenburg",2016,TRUE
"10.1007/s00484-016-1270-4","Umea University",2016,TRUE
"10.1007/s12529-016-9618-z","Karolinska Institute",2016,TRUE
"10.1007/s00423-016-1535-8","Lund University",2016,TRUE
"10.1007/s00707-016-1748-5","Royal Institute of Technology",2016,TRUE
"10.1007/s13595-016-0590-1","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s11214-016-0294-8","Stockholm University",2016,TRUE
"10.1007/s13399-016-0225-7","Lulea University of Technology",2016,TRUE
"10.1007/s00420-016-1186-7","Karolinska Institute",2016,TRUE
"10.1007/s10959-016-0723-3","Uppsala University",2016,TRUE
"10.1007/s00227-016-3032-6","Stockholm University",2016,TRUE
"10.1007/s10804-016-9248-3","Umea University",2016,TRUE
"10.1007/s11676-016-0341-z","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s13364-016-0301-1","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s10826-016-0602-7","Lund University",2016,TRUE
"10.1007/s11295-016-1074-z","Umea University",2016,TRUE
"10.1007/s00023-016-0531-4","Chalmers University of Technology",2016,TRUE
"10.1007/s10237-016-0855-5","Royal Institute of Technology",2016,TRUE
"10.1007/s11269-016-1546-9","Lund University",2016,TRUE
"10.1007/s11249-016-0790-8","Lulea University of Technology",2016,TRUE
"10.1007/s00068-016-0730-1","Karolinska Institute",2016,TRUE
"10.1007/s10064-016-0962-7","Chalmers University of Technology",2016,TRUE
"10.1007/s00277-016-2859-8","Karolinska Institute",2016,TRUE
"10.1007/s11422-016-9790-0","Uppsala University",2016,TRUE
"10.1007/s00204-016-1879-4","Karolinska Institute",2016,TRUE
"10.1007/s11367-016-1218-2","Royal Institute of Technology",2016,TRUE
"10.1007/s11104-016-3104-x","Swedish University of Agricultural Sciences",2016,TRUE
"10.1007/s11517-016-1593-7","Lund University",2016,TRUE
"10.1007/s10974-016-9458-0","Linnaeus University",2016,TRUE
"10.1007/s11356-016-7991-4","Stockholm University",2016,TRUE
"10.1007/s00262-016-1922-6","Karolinska Institute",2016,TRUE
"10.1007/s10346-016-0775-6","Karlstad University",2016,TRUE
"10.1007/s10592-016-0910-x","Stockholm University",2016,TRUE
"10.1007/s00382-016-3426-7","University of Gothenburg",2016,TRUE
"10.1007/s10886-016-0790-z","Royal Institute of Technology",2016,TRUE
"10.1245/s10434-016-5661-x","Karolinska Institute",2016,TRUE
"10.1007/s11695-016-2431-6","Karolinska Institute",2016,TRUE
"10.1007/s11219-016-9343-5","Mälardalen University",2016,TRUE
"10.1007/s11090-016-9766-6","Uppsala University",2016,TRUE
"10.1007/s00246-016-1507-3","Umea University",2016,TRUE
"10.1007/s10113-016-1077-1","Lulea University of Technology",2016,TRUE
"10.1007/s10519-016-9827-x","Örebro University",2016,TRUE
"10.1007/s12528-016-9127-8","Chalmers University of Technology",2016,TRUE
"10.1007/s11695-016-2476-6","Uppsala University",2016,TRUE
"10.1007/s00190-016-0974-x","Chalmers University of Technology",2016,TRUE
"10.1007/s10826-016-0623-2","Örebro University",2016,TRUE
