"old_value","target_value"
" Queen’s University","Queen's University"
"Acadia University","Acadia University"
"Algoma University","Algoma University"
"Athabasca University","Athabasca University"
"Athabasca University Faculty of Business","Athabasca University"
"Athabasca University Faculty of Humanities and Social Sciences","Athabasca University"
"BC Children's Hospital","BC Children's Hospital"
"Balsillie School of International Affairs","Balsillie School of International Affairs"
"Bishop's University","Bishop's University"
"Brandon University","Brandon University"
"Brock University","Brock University"
"Brock University - St Catharines Campus","Brock University"
"Brock University Department of Child and Youth Studies","Brock University"
"Brock University Department of History","Brock University"
"Brock University Faculty of Applied Health Sciences","Brock University"
"Brock University Faculty of Social Sciences","Brock University"
"Brock University Goodman School of Business","Brock University"
"BrockUniversity","Brock University"
"Bruyere Research Institute","Bruyère"
"CHU de Quebec-Universite Laval","Université Laval"
"CHU de Québec-Université Laval","Université Laval"
"Canadian Research Knowledge Network","Canadian Research Knowledge Network"
"Cape Breton University","Cape Breton University"
"Carleton University","Carleton University"
"Carleton University College of the Humanities","Carleton University"
"Carleton University Department of Law and Legal Studies","Carleton University"
"Carleton University Department of Psychology","Carleton University"
"Carleton University Department of Sociology and Anthropology","Carleton University"
"Carleton University Faculty of Arts and Social Sciences","Carleton University"
"Carleton University Faculty of Public Affairs","Carleton University"
"Carleton University Faculty of Science","Carleton University"
"Carleton University Norman Paterson School of International Affairs","Carleton University"
"Carleton University School for Studies in Art and Culture","Carleton University"
"Carleton University Sprott School of Business","Carleton University"
"CarletonUniversity","Carleton University"
"CarletonUniversityFacultyofPublicAffairs","Carleton University"
"Centre de recherche CERVO","Université Laval"
"Concordia University","Concordia University"
"Concordia University - Sir George Williams Campus","Concordia University"
"Concordia University Department of Communication Studies","Concordia University"
"Concordia University Faculty of Arts and Science","Concordia University"
"Concordia University Gina Cody School of Engineering and Computer Science","Concordia University"
"Concordia University John Molson School of Business","Concordia University"
"Concordia University of Edmonton","Concordia University"
"Conrad Grebel University College","University of Waterloo"
"Dalhousie Medical School","Dalhousie University"
"Dalhousie Medicine New Brunswick","Dalhousie University"
"Dalhousie University","Dalhousie University"
"Dalhousie University - Faculty of Health Professions","Dalhousie University"
"Dalhousie University Faculty of Engineering","Dalhousie University"
"Dalhousie University Faculty of Health","Dalhousie University"
"Dalhousie University Faculty of Management","Dalhousie University"
"Dalhousie University Faculty of Medicine","Dalhousie University"
"Dalhousie University Faculty of Science","Dalhousie University"
"Dalhousie University School of Health and Human Performance","Dalhousie University"
"Dalhousie University School of Nursing","Dalhousie University"
"DalhousieUniversity","Dalhousie University"
"ENAP","École Nationale d'Administration Publique"
"ESPUM","Université de Montréal"
"Ecole de technologie superieure","École de technologie supérieure"
"Ecole de technologie superieure: Ecole de technologie superieure","École de technologie supérieure"
"Ecole des Hautes Etudes Commerciales","HEC Montréal"
"Ecole nationale d'administration publique","École Nationale d'Administration Publique"
"Ecole nationale d'administration publique à Montréal","École Nationale d'Administration Publique"
"Ecole nationale d\'administration publique a Montreal","École Nationale d'Administration Publique"
