institution;period;euro;doi;is_hybrid;Date_of_order;publisher;journal_full_title;issn;url
Université Clermont Auvergne;2018;1800,00;https://doi.org/10.1186/s12889-017-5011-3;FALSE;15/01/2018;BIOMED CENTRAL LTD;BMC Public Health;;
Université Clermont Auvergne;2018;1800,00;https://doi.org/10.1186/s12903-018-0482-x;FALSE;01/02/2018;BIOMED CENTRAL LTD;BMC Oral Health;;
Université Clermont Auvergne;2018;1995,00;https://doi.org/10.1186/s40168-018-0442-3;FALSE;14/03/2018;BIOMED CENTRAL LTD;Microbiome;;
Université Clermont Auvergne;2018;2238,00;https://doi.org/10.1186/s12939-017-0634-7;FALSE;16/04/2018;BIOMED CENTRAL LTD;International Journal for Equity in Health;;
Université Clermont Auvergne;2018;1800,00;https://doi.org/10.1186/s13100-018-0130-7;FALSE;01/08/2018;BIOMED CENTRAL LTD;Mobile DNA;;
Université Clermont Auvergne;2018;70,77;https://doi.org/10.15520/sslej.v3i09.2282;FALSE;31/08/2018;Innovative Journal;Social Science Learning Education Journal;;
Université Clermont Auvergne;2018;1440,00;https://doi.org/10.5194/acp-18-757-2018;FALSE;19/01/2018;COPERNICUS GESELLSCHAFT MBH;Atmospheric Chemistry and Physics;;
Université Clermont Auvergne;2018;2250,00;https://doi.org/10.5194/se-9-431-2018;FALSE;04/05/2018;COPERNICUS GESELLSCHAFT MBH;Solid Earth;;
Université Clermont Auvergne;2018;3000,00;https://doi.org/10.1242/dev.158717;FALSE;12/02/2018;The Company of Biologists;Development;;
Université Clermont Auvergne;2018;2990,52;https://doi.org/10.1126/sciadv.1701876;FALSE;13/02/2018;AAAS;Science Advances;;
Université Clermont Auvergne;2018;3187,50;https://doi.org/10.1242/dmm.031849;FALSE;16/07/2018;The Company of Biologists;Disease Models and Mechanisms;;
Université Clermont Auvergne;2018;2032,32;https://doi.org/10.3389/fmicb.2018.00276;FALSE;08/02/2018;FRONTIERS MEDIA SA;Frontiers in Microbiology;;
