institution;period;doi;is_hybrid;euro
MPG;2018;10.1039/C7SM02523H;TRUE;
MPG;2018;10.1039/C8CP00371H;TRUE;
MPG;2018;10.1039/C8TC00433A;TRUE;
MPG;2018;10.1039/C8SE00110C;TRUE;
MPG;2018;10.1039/C8SM00495A;TRUE;
MPG;2018;10.1039/C8CC03793K;TRUE;
MPG;2018;10.1039/C8CE00755A;TRUE;
MPG;2018;10.1039/C8CP03004A;TRUE;
MPG;2018;10.1039/C8CP03076F;TRUE;
MPG;2018;10.1039/C8TC03142H;TRUE;
MPG;2018;10.1039/C8TA05772A;TRUE;
MPG;2018;10.1039/C8CP00746B;TRUE;
MPG;2018;10.1039/C8CY01284A;TRUE;
MPG;2018;10.1039/C8EE02077A;TRUE;
MPG;2018;10.1039/C8CS00162F;TRUE;
MPG;2018;10.1039/C8CP04448A;TRUE;
MPG;2018;10.1039/C8TA07512C;TRUE;
MPG;2018;10.1039/C8EE01723A;TRUE;
MPG;2018;10.1039/C8SM01258J;TRUE;
MPG;2018;10.1039/C7NP00063D;TRUE;
MPG;2018;10.1039/C7CS00749C;TRUE;
MPG;2018;10.1039/C8TA07313A;TRUE;
MPG;2018;10.1039/C8NP00038G;TRUE;
MPG;2018;10.1039/C8TC01998C;TRUE;
MPG;2018;10.1039/C8CS00531A;TRUE;
MPG;2018;10.1039/C8MT00232K;TRUE;
MPG;2018;10.1039/C8MH00895G;TRUE;
MPG;2018;10.1039/C8TA03213K;TRUE;
MPG;2018;10.1039/C8CC06838K;TRUE;
MPG;2018;10.1039/C8DT03034K;TRUE;
MPG;2018;10.1039/C8CC04725A;TRUE;
MPG;2018;10.1039/C8GC02617C;TRUE;
MPG;2018;10.1039/C8CC06467A;TRUE;
MPG;2018;10.1039/C8CP04239J;TRUE;
