institution;period;doi;is_hybrid
MPG;2015;10.1007/s00226-015-0779-8;TRUE
MPG;2015;10.1007/s00294-015-0541-7;TRUE
MPG;2015;10.3758/s13428-015-0688-7;TRUE
MPG;2015;10.1007/s00412-015-0562-5;TRUE
MPG;2015;10.1140/epja/i2015-15155-3;TRUE
MPG;2015;10.1007/s00412-015-0560-7;TRUE
MPG;2015;10.1007/s00109-015-1373-0;TRUE
MPG;2015;10.1007/s00253-015-7186-9;TRUE
MPG;2015;10.1007/s10948-015-3287-z;TRUE
MPG;2015;10.1007/s10948-015-3302-4;TRUE
MPG;2015;10.1007/s11837-015-1764-2;TRUE
MPG;2015;10.1007/s11661-015-3271-z;TRUE
MPG;2015;10.1007/s11669-015-0446-7;TRUE
MPG;2015;10.1007/s00791-015-0252-0;TRUE
MPG;2015;10.1007/s11244-015-0528-0;TRUE
MPG;2015;10.1007/s12035-015-9680-6;TRUE
MPG;2015;10.1007/s11818-015-0039-z;TRUE
MPG;2015;10.1007/s13361-015-1308-6;TRUE
MPG;2016;10.1007/s00395-016-0530-0;TRUE
MPG;2015;10.1007/s11306-015-0927-z;TRUE
MPG;2015;10.1007/s00253-015-7267-9;TRUE
MPG;2015;10.1007/s11103-015-0425-8;TRUE
MPG;2016;10.1007/s10909-016-1492-1;TRUE
MPG;2015;10.1007/s00442-015-3538-5;TRUE
MPG;2015;10.1140/epjb/e2015-60727-7;TRUE
MPG;2015;10.1007/s10071-015-0948-z;TRUE
MPG;2015;10.1007/s00407-015-0173-9;TRUE
MPG;2016;10.1007/s10539-016-9516-4;TRUE
MPG;2016;10.1007/s10071-016-0956-7;TRUE
MPG;2016;10.1007/s10657-016-9529-0;TRUE
MPG;2015;10.1007/s11214-015-0230-3;TRUE
MPG;2016;10.1007/s10546-016-0133-1;TRUE
MPG;2015;10.1007/s00249-015-1110-1;TRUE
MPG;2016;10.1007/s10013-016-0183-1;TRUE
MPG;2016;10.1007/s00339-016-9652-3;TRUE
MPG;2016;10.1007/s11192-016-1893-6;TRUE
MPG;2016;10.1007/s00122-016-2674-6;TRUE
MPG;2015;10.1007/s00526-015-0943-x;TRUE
MPG;2015;10.1007/s00340-015-6278-7;TRUE
MPG;2016;10.1007/s10909-016-1512-1;TRUE
MPG;2016;10.1007/s00339-016-9651-4;TRUE
MPG;2015;10.1007/s00340-015-6299-2;TRUE
MPG;2016;10.1140/epjb/e2016-70020-0;TRUE
MPG;2016;10.1007/s00382-016-3047-1;TRUE
MPG;2016;10.1007/s00048-016-0137-4;TRUE
MPG;2016;10.1007/s10734-016-9995-x;TRUE
MPG;2015;10.1007/s00031-016-9364-y;TRUE
MPG;2015;10.1007/s00339-016-9811-6;TRUE
MPG;2016;10.1007/s00031-016-9367-8;TRUE
MPG;2015;10.1007/s00339-016-9836-x;TRUE
MPG;2015;10.1007/s00339-016-9864-6;TRUE
MPG;2016;10.1007/s00018-016-2174-5;TRUE
MPG;2016;10.1007/s11104-016-2826-0;TRUE
MPG;2016;10.1007/s11192-016-1925-2;TRUE
MPG;2016;10.1007/s00422-016-0684-8;TRUE
MPG;2016;10.1007/s10886-016-0684-0;TRUE
MPG;2016;10.1007/s00265-016-2116-0;TRUE
MPG;2016;10.1007/s00382-016-3106-7;TRUE
MPG;2016;10.1007/s10584-016-1665-6;TRUE
MPG;2016;10.1007/s00439-016-1651-0;TRUE
MPG;2016;10.1007/s00221-016-4638-0;TRUE
MPG;2016;10.1007/s00382-016-3111-x;TRUE
MPG;2016;10.1007/s00340-016-6374-3;TRUE
MPG;2016;10.1007/s11665-016-2048-x;TRUE
MPG;2016;10.1007/s12190-016-1001-3;TRUE
MPG;2016;10.1007/s11244-016-0551-9;TRUE
MPG;2016;10.1007/s00427-016-0541-8;TRUE
MPG;2016;10.1007/s00253-016-7542-4;TRUE
