Institution;Period ;Euro;DOI;is hybrid;publisher;journal_full_title;
Bochum. Ruhr-Universitaet;2018;1.576,36  ;10.1364/BOE.9.000743;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.643,02  ;10.3390/ijms19010226;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.434,43  ;10.1371/journal.pone.0191810;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.383,29  ;10.3390/ijms19020384;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.852,36  ;10.3389/fonc.2018.00033;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.825,46  ;doi.org/10.2147/CIA.S160517;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.429,88  ;10.1371/journal.pone.0192242;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.429,88  ;10.1371/journal.pone.0192837;FALSE;;;
Bochum. Ruhr-Universitaet;2018;836,34  ;10.1525/collabra.104;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12883-017-1009-9;FALSE;;;
Bochum. Ruhr-Universitaet;2018;885,36  ;10.1186/s13705-017-0143-y;FALSE;;;
Bochum. Ruhr-Universitaet;2018;761,60  ;10.1186/s40807-018-0047-2;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s13034-018-0216-5;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s13578-018-0211-9;FALSE;;;
Bochum. Ruhr-Universitaet;2018;476,00  ;http://econjournals.com/index.php/ijeep/article/view/6078/3658;FALSE;;;
Bochum. Ruhr-Universitaet;2018;297,50  ;10.32479/ijefi.6894;FALSE;;;
Bochum. Ruhr-Universitaet;2018;404,60  ;http://econjournals.com/index.php/ijeep/article/view/5762/3557;FALSE;;;
Bochum. Ruhr-Universitaet;2018;866,32  ;10.1186/s13256-018-1594-2;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.371,99  ;10.3390/e20040234;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.452,52  ;10.1371/journal.pone.0193080;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.452,52  ;10.1371/journal.pone.0192999;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.648,27  ;10.3390/ijms19041133;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.857,70  ;10.3389/fphys.2018.00456;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.429,50  ;10.3390/ijerph15050856;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.370,00  ;10.1038/s41598-018-24616-4;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.490,49  ;10.1371/journal.pone.0194603;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.496,89  ;"10.1371/journal.pone.0195716";FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12885-018-4447-x;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12885-018-4369-7;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.431,82  ;10.3390/en11051199;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.514,35  ;"10.1371/journal.pone.0194642";FALSE;;;
Bochum. Ruhr-Universitaet;2018;464,92  ;10.3389/fpsyg.2018.00680;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.808,80  ;10.1136/bmjopen-2017-019964 ;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.399,00  ;10.3390/ijms19061636;FALSE;;;
Bochum. Ruhr-Universitaet;2018;947,88  ;10.7717/peerj.4861;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.392,30  ;10.5194/gmd-11-2175-2018;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.904,00  ;10.1055/s-0038-1661408;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.931,65  ;doi.org/10.3389/fphys.2018.00415;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.923,60  ;10.3389/fpsyt.2018.00212;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.923,60  ;10.3389/fphys.2018.00639;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.923,60  ;10.3389/fpsyg.2018.00888;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.545,93  ;10.1242/bio.027730;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12904-018-0334-0;FALSE;;;
