Institution;Period;euro;Publication: DOI;is hybrid;publisher;journal_full_title;ISSN
Free University of Bozen-Bolzano;2018;366;;FALSE;Allied Business Academies;;1528-2635
Free University of Bozen-Bolzano;2018;902,8;10.1515/intag-2017-0037;FALSE;;;
Free University of Bozen-Bolzano;2019;2862,12;10.1016/j.ecolind.2018.07.048;TRUE;;;
Free University of Bozen-Bolzano;2019;1817,8;10.1038/s41598-019-39787-x;FALSE;;;
Free University of Bozen-Bolzano;2018;2684;10.1007/s10844-018-0529-0;TRUE;;;
Free University of Bozen-Bolzano;2018;2684;10.1007/s11104-018-3897-x;TRUE;;;
Free University of Bozen-Bolzano;2019;1512,8;10.1016/j.cie.2019.01.018;TRUE;;;
Free University of Bozen-Bolzano;2019;2108,16;10.1016/j.scienta.2018.11.020;TRUE;;;
Free University of Bozen-Bolzano;2018;648,28;10.3390/su10124775;FALSE;;;
Free University of Bozen-Bolzano;2018;512,4;10.22495/rgcv8i4p3;FALSE;;;
Free University of Bozen-Bolzano;2018;2695,35;10.1016/j.smallrumres.2018.05.007;TRUE;;;
Free University of Bozen-Bolzano;2018;1515,24;10.1016/j.cie.2018.08.035;TRUE;;;
Free University of Bozen-Bolzano;2018;2220,63;10.3389/fpls.2018.01342;FALSE;;;
Free University of Bozen-Bolzano;2018;1982,5;10.3382/ps/pey223;TRUE;;;
Free University of Bozen-Bolzano;2018;793;10.2478/amcs-2019-0002;TRUE;University of Zielona Gora Institute of Control and Computation Engineering;International Journal of Applied Mathematics and Computer Science;2083-8492
Free University of Bozen-Bolzano;2019;927,2;10.1016/j.pursup.2018.11.002;TRUE;;;
Free University of Bozen-Bolzano;2019;561,2;10.1080/17445647.2018.1531074;FALSE;;;
Free University of Bozen-Bolzano;2019;2684;10.1057/s41267-019-00212-0;TRUE;;;
Free University of Bozen-Bolzano;2018;2914,58;10.1093/teamat/hry015;TRUE;;;
Free University of Bozen-Bolzano;2018;1552,52;10.1016/j.stueduc.2018.05.002;TRUE;;;
Free University of Bozen-Bolzano;2018;303,28;10.22158/uspa.v1n2p301;FALSE;;;
Free University of Bozen-Bolzano;2018;260,19;10.5539/ijbm.v13n6p238;FALSE;;;
Free University of Bozen-Bolzano;2019;323,32;10.3390/nu11020248;FALSE;;;
