institution (M);period (M);euro (M);DOI (M);Publisher;book_full_title;chapter_full_title;Handle ORBi;
University of Liège;2021;1.815,00;10.1007/978-3-030-51241-5;Springer;Migration and Social Protection in Europe and Beyond (Volume 1) Comparing Access to Welfare Entitlements;;https://orbi.uliege.be/handle/2268/231406;
University of Liège;2021;1.815,00;10.1007/978-3-030-51245-3;Springer;Migration and Social Protection in Europe and Beyond (Volume 2) Comparing Consular Services and Diaspora Policies;;https://orbi.uliege.be/handle/2268/231407;
University of Liège;2021;1.815,00;10.1007/978-3-030-51237-8;Springer;Migration and Social Protection in Europe and Beyond (Volume 3) A Focus on Non-EU Sending States;;https://orbi.uliege.be/handle/2268/231408;
University of Liège;2021;2.233,59;10.19103/AS.2021.0093.10;Burleigh Dodds Science Publishing;Microbial bioprotectants for plant disease management;The use of Bacillus spp. as bacterial biocontrol agents to control plant diseases;https://orbi.uliege.be/handle/2268/267261;Chapter
