institution (M);period (M);euro (M);DOI (M);Publisher;Document type
University of Liège;2024;50,00;10.5194/egusphere-egu24-13280;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-13423;Copernicus GmbH; Abstract 
University of Liège;2024;100,00;10.5194/epsc2024-795 et 10.5194/epsc2024-896;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-16331;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-16072;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-8508;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-18932;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-9537;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/epsc2024-1139;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/epsc2024-951;Copernicus GmbH; Abstract 
University of Liège;2024;64,67;10.5194/egusphere-egu24-10112;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/egusphere-egu24-2029;Copernicus GmbH; Abstract 
University of Liège;2024;50,00;10.5194/epsc2024-1097;Copernicus GmbH; Abstract 
University of Liège;2024;2.588,87;https://www.whpress.co.uk/publications/2025/03/04/meam-2/;White Horse Press;Book
