institution (M);period (M);euro (M);DOI (M);Publisher;Document type
University of Liège;2023;50,00;10.5194/egusphere-egu23-15565;Copernicus; Abstract 
University of Liège;2023;50,00;10.5194/egusphere-egu23-7736;Copernicus; Abstract 
University of Liège;2023;50,00;10.5194/egusphere-egu23-12509;Copernicus; Abstract 
University of Liège;2023;42,02;10.5194/egusphere-egu23-13923;Copernicus; Abstract 
University of Liège;2023;50,00;10.5194/egusphere-egu23-8973;Copernicus; Abstract 
University of Liège;2023;50,00;10.5194/egusphere-egu23-6493;Copernicus; Abstract 
University of Liège;2023;50,00;10.5194/egusphere-egu23-14429;Copernicus; Abstract 
University of Liège;2023;656,60;10.1145/3593743.3593790;Association for Computing Machinery; BOOK 
University of Liège;2023;50,00;10.5194/egusphere-egu23-15723;Copernicus; Abstract 
University of Liège;2023;5.217,78;https://manchesteruniversitypress.co.uk/9781526170347/;Manchester University Press; BOOK 
University of Liège;2023;15.673,42;;Edward Elgar; BOOK 
