institution;apc;doi;period;is_hybrid;currency
Consejo Superior de Investigaciones Cientificas (CSIC);1995;10.1186/s40168-017-0390-3;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12862-017-1069-x;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1995;10.1186/s13068-017-0946-2;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12958-017-0305-y;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12864-017-4177-5;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s13071-017-2405-0;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12934-017-0781-y;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1050;10.1186/s13104-017-2741-3;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1995;10.1186/s40168-017-0313-3;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s13071-017-2300-8;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1925;10.1186/s12983-017-0217-x;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1050;10.1186/s13104-017-2643-4;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12859-017-1754-1;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12862-017-1004-1;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1820;10.1186/s13007-017-0205-3;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12862-017-1006-z;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);2420;10.1186/s13059-017-1225-z;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12862-017-0954-7;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12870-017-1027-1;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1820;10.1186/s13007-017-0182-6;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12917-017-0992-9;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12864-017-3572-2;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12859-016-1452-4;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1820;10.1186/s12986-016-0154-2;01/01/2017;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1745;10.1186/s12864-016-3419-2;01/01/2017;FALSE;EUR
