institution;apc;period;doi;currency;is_hybrid;euro
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S1755691022000196;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);1870;2023;10.1017/S0022029922000140;GBP;TRUE;2146.85
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S1743921322003052;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S0022149X23000275;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S0959270923000126;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S1743921322000266;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S2633903X23000132;GBP;FALSE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S1743921323002247;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S1743921323001965;GBP;TRUE;2422.38
Consejo Superior de Investigaciones Cientificas (CSIC);2110;2023;10.1017/S0959774323000240;GBP;TRUE;2422.38
