"Article Title","Journal","Publisher","Digital Object Identifier","URL","Amount Awarded","is_hybrid","Date Funds Disbursed","issn","institution"
"Reorientation is guided by perceived surface distance, not by image matching or comparison","PLoS ONE","Public Library of Science","10.1371/journal.pone.0051373","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051373","$1,350 ",0,12/19/2012,,"HOPE Fund-OSC Harvard University Library"
"Evolving righteousness in a corrupt world","PLoS ONE","Public Library of Science","10.1371/journal.pone.0044432","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0044432","$1,350 ",0,11/2/2012,,"HOPE Fund-OSC Harvard University Library"
"Robust and economical multi-sample, multi-wavelength UV/vis absorption and fluorescence detector for biological and chemical con","AIP Advances","AIP","10.1063/1.4738962","http://scitation.aip.org/content/aip/journal/adva/2/3/10.1063/1.4738962","$900.00 ",0,7/23/2012,,"HOPE Fund-OSC Harvard University Library"
"The core apoptotic executioner proteins CED-3 and CED-4 promote initiation of neuronal regeneration in Caenorhabditis elegans","PLoS Biology","Public Library of Science","10.1371/journal.pbio.1001331","http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001331","$1,305.00 ",0,5/3/2012,,"HOPE Fund-OSC Harvard University Library"
"Tracking replicability as a method of post-publication open evaluation","Frontiers in Comutational Neuroscience","Frontiers","10.3389/fncom.2012.00008","http://journal.frontiersin.org/article/10.3389/fncom.2012.00008/full","$221 ",0,7/9/2012,"1662-5188","HOPE Fund-OSC Harvard University Library"
"Kin selection and the evolution of social information use in animal conflict","PLoS ONE","Public Library of Science","10.1371/journal.pone.0031664","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031664","$450.00 ",0,4/25/2012,,"HOPE Fund-OSC Harvard University Library"
"Deep annotation of Populus trichocarpa microRNAs from diverse tissue sets","PLoS ONE","Public Library of Science","10.1371/journal.pone.0033034","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033034","$900 ",0,2/8/2012,,"HOPE Fund-OSC Harvard University Library"
