"Article Title","Journal","Publisher","Digital Object Identifier","URL","Amount Awarded","is_hybrid","Date Funds Disbursed","issn","institution"
"Global Burden of Double Malnutrition: Has Anyone Seen It?","PLoS ONE","Public Library of Science","10.1371/journal.pone.0025120","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3182195/","$450.00 ",0,9/15/2011,,"HOPE Fund-OSC Harvard University Library"
"The Maternal and Early Embryonic Transcriptome of the Milkweed Bug Oncopeltus fasciatus","BMC Genomics","Biomed Central","10.1186/1471-2164-12-61","http://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-61","$1,780.00 ",0,1/1/2011,,"HOPE Fund-OSC Harvard University Library"
"Recognizing Uncertainty in Speech","ERUASIP Journal on Advances in Signal Processing","Hindawi Publishing Corporation","10.1155/2011/251753","http://asp.eurasipjournals.springeropen.com/articles/10.1155/2011/251753","$1,500 ",0,5/2/2011,,"HOPE Fund-OSC Harvard University Library"
"The effects of biogeography on ant diversity and activity on the Boston Harbor Islands, Massachusetts, U.S.A.","PLoS ONE","Public Library of Science","10.1371/journal.pone.0028045","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0028045","$1,350.00 ",0,12/12/2011,,"HOPE Fund-OSC Harvard University Library"
