Institution,Period,Euro,DOI,Publisher,Journal,ISSN.1,ISSN.2,base.url,record.id
Technische Universität Clausthal,2013,1373.56,10.1364/OE.21.020911,Optical Society of America,Optics Express,1094-4087,,,
Technische Universität Clausthal,2013,935,10.1186/1556-276X-8-504,Springer,Nanoscale Research Letters,1556-276X,,https://dokumente.ub.tu-clausthal.de/,clausthal_mods_00000089
Technische Universität Clausthal,2013,1002.46,10.1063/1.4824616,American Institute of Physics,AIP Advances,2158-3226,,https://dokumente.ub.tu-clausthal.de/,clausthal_mods_00000042
Technische Universität Clausthal,2013,459.75,10.4236/jcc.2013.15006,Scientific Research Publishing,Journal of Computer and Communications,2327-5227,,https://dokumente.ub.tu-clausthal.de/,clausthal_mods_00000053
