"Publisher","Publisher_OAPC","Country","Country_OAPC","Organization","Annual publications","Start date","End date","ID","URL"
"Microbiology Society","Microbiology Society","Netherlands","NLD","TU Delft","1","01/01/2026","31/12/2028","microbio2026delft","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2026delft/"
"Elsevier","Elsevier BV","Portugal","NA","b-on/FCT","2500","13/08/2025","31/12/2027","els2025fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025fct/"
"Springer Nature","Springer Nature","Portugal","NA","b-on/FCT","960","13/08/2025","31/12/2027","sn2025fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025fct/"
"Sage","SAGE Publications","Portugal","NA","b-on/FCT","225","01/08/2025","31/12/2027","sage2025fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2025fct/"
"Wiley","Wiley-Blackwell","Portugal","NA","b-on/FCT","700","01/08/2025","31/12/2027","wiley2025fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025fct/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","United States","USA","Vanderbilt University","160","26/06/2025","31/12/2028","lww2025vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2025vanderbilt/"
"American Society of Mechanical Engineers","ASME International","Ireland","IRL","IReL","17","01/04/2025","31/12/2027","asme2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/asme2025ie/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Albania, Armenia, Azerbaijan, Congo, Ethiopia, Georgia, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Moldova, Myanmar, Nepal, Palestine, Senegal, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe","NA","EIFL","58","01/01/2025","31/12/2027","acm2025eifl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2025eifl/"
"American Psychological Association","American Psychological Association (APA)","Australia","NA","CAUL","300","01/01/2025","31/12/2025","apa2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/apa2025caul/"
"American Society of Mechanical Engineers","ASME International","Australia","NA","CAUL","30","01/01/2025","31/12/2025","asme2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/asme2025caul/"
