"old_value","target_value"
"Acadia University","Acadia University"
"Athabasca University","Athabasca University"
"Brandon University","Brandon University"
"Brock University","Brock University"
"Cape Breton University","Cape Breton University"
"Carleton University","Carleton University"
"Concordia University","Concordia University"
"Dalhousie University","Dalhousie University"
"HEC Montréal","HEC Montréal"
"Kwantlen Polytechnic University","Kwantlen Polytechnic University"
"Lakehead University","Lakehead University"
"Laurentian University","Laurentian University"
"MacEwan University","MacEwan University"
"McGill University","McGill University"
"McMaster University","McMaster University"
"Memorial University of Newfoundland","Memorial University of Newfoundland"
"Mount Allison University","Mount Allison University"
"Mount Royal University","Mount Royal University"
"Mount Saint Vincent University","Mount Saint Vincent University"
"Nipissing University","Nipissing University"
"OCAD University","OCAD University"
"Queen's University","Queen's University"
"Royal Roads University","Royal Roads University"
"Ryerson University","Toronto Metropolitan University"
"Saint Mary's University","Saint Mary's University"
"Simon Fraser University","Simon Fraser University"
"St. Francis Xavier University","St. Francis Xavier University"
"The University of British Columbia","University of British Columbia"
"The University of British Columbia Faculty of Arts","University of British Columbia"
"Thompson Rivers University","Thompson Rivers University"
"Toronto Metropolitan University","Toronto Metropolitan University"
"Trent University","Trent University"
"Trinity Western University","Trinity Western University"
"Universite Laval","Université Laval"
"Universite Laval Faculte de medecine","Université Laval"
"University of Alberta","University of Alberta"
"University of Alberta Alberta School of Business","University of Alberta"
"University of Alberta Faculty of Medicine & Dentistry","University of Alberta"
"University of British Columbia","University of British Columbia"
"University of Calgary","University of Calgary"
"University of Guelph","University of Guelph"
"University of Lethbridge","University of Lethbridge"
"University of Manitoba","University of Manitoba"
"University of New Brunswick","University of New Brunswick"
"University of Northern British Columbia","University of Northern British Columbia"
"University of Ottawa","University of Ottawa"
"University of Prince Edward Island","University of Prince Edward Island"
"University of Regina","University of Regina"
"University of Saskatchewan","University of Saskatchewan"
"University of Toronto","University of Toronto"
"University of Toronto Faculty of Medicine Department of Otolaryngology - Head and Neck Surgery","University of Toronto"
"University of Toronto Trinity College","University of Toronto"
"University of Victoria","University of Victoria"
"University of Waterloo","University of Waterloo"
"University of Windsor","University of Windsor"
"University of Winnipeg","University of Winnipeg"
"University of the Fraser Valley","University of the Fraser Valley"
"UniversityofTorontoOntarioInstituteforStudiesinEducation","University of Toronto"
"Université Laval","Université Laval"
"Université de Moncton","Université de Moncton"
"Université de Montréal","Université de Montréal"
"Université de Sherbrooke","Université de Sherbrooke"
"Université du Québec","Université du Québec"
"Vancouver Island University","Vancouver Island University"
"Western University","Western University"
"Wilfrid Laurier University","Wilfrid Laurier University"
"York University","York University"
