institution,period,euro,doi,is_hybrid,publisher,journal_full_title,isssn_electronic,issn_print,isssn_electronic,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj,agreement
HS Düsseldorf,2021,"2358,08 €",10.1007/s13222-021-00373-z,true,Springer Nature,Datenbank-Spektrum,1610-1995,1618-2162,1610-1995,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Springer
HS Düsseldorf,2021,"2358,08 €",10.1007/s41059-021-00086-1,true,Springer Nature,Soziale Probleme,0939-608X,NA,0939-608X,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Springer
